"","V1","V2","V3"
"1",0.615363072247106,0.600608078172039,-668.447742825026
"2",0.377495095303964,1.11147951193909,-667.98274035956
"3",0.342021399302811,1.29301781838847,-667.707627848868
"4",0.454921348173297,0.89099850958761,-668.315826452294
"5",0.47619153225212,0.833840653455277,-667.982984759679
"6",0.293424226591626,1.67843006474127,-669.238695544847
"7",0.419711873382066,0.983208285683899,-667.257459319025
"8",0.508272893086774,0.776411019518472,-668.370367847924
"9",0.350704300672588,1.25702059712031,-668.405863306331
"10",0.282841766685592,1.68042279124126,-670.193336454131
"11",0.293818531975006,1.74772127666926,-669.476886699509
"12",0.264765270838416,1.9160025515371,-668.489214941377
"13",0.28381441385974,1.77894029753929,-668.607982976345
"14",0.35852469583082,1.15262548188769,-671.856971419953
"15",0.349617502326503,1.29278132594537,-668.7158227623
"","V1","V2","V3"
"1",0.282249009143694,1.76412551900159,-668.12621675545
"2",0.270578885997114,1.95897643340035,-670.158317505998
"3",0.254468271697348,2.08278118373921,-667.83627183038
"4",0.232439631440201,2.42651821118306,-669.931097133186
"5",0.348257791766012,1.27012373430488,-668.143887825479
"6",0.319148728831171,1.43598461423551,-667.224482797272
"7",0.335680821125891,1.28604418600226,-669.231405082799
"8",0.317464459871168,1.47339362730789,-667.328141316138
"9",0.267569467254928,1.94632453302223,-669.277482529962
"10",0.166617798254605,4.59686627544011,-670.367875542496
"11",0.208839275565507,3.04003252616043,-669.050842099743
"12",0.225195303275404,2.65734325032177,-668.379953286114
"13",0.230966808041369,2.37224888218891,-668.764472550045
"14",0.231075037607379,2.36517345946197,-669.570418611749
"15",0.196810520365142,3.15345429274022,-668.453132334013
"","V1","V2","V3"
"1",0.249304444507239,2.1173928470005,-669.830590628467
"2",0.232718059434258,2.51253155444367,-670.039004287316
"3",0.247081454902834,2.18795669977998,-668.759812106431
"4",0.25774415132423,2.03475970734561,-668.169401480104
"5",0.30927829956189,1.56892564364699,-668.358907647775
"6",0.401724485925309,1.00403365851997,-669.423422269909
"7",0.431403921112063,0.934929313462123,-667.940928898491
"8",0.534446740687922,0.73422011746139,-669.708364368071
"9",0.642597499522631,0.559031564187991,-668.02119352549
"10",0.677712315482613,0.512208015296406,-669.052936965855
"11",0.568460244334485,0.669763434889264,-668.502007361677
"12",0.616409454537914,0.566268840480218,-669.816309094067
"13",0.805773645465545,0.431758801316593,-668.280203537343
"14",0.695183467251866,0.508596781987791,-667.859797831486
"15",0.543391581951265,0.681727722256816,-668.826337949784
"","V1","V2","V3"
"1",0.659319335972641,0.522774404269547,-670.030686368599
"2",0.557713238207351,0.66468121981693,-667.720251219656
"3",0.579668784932801,0.627129518851381,-667.903873118942
"4",0.626880753223429,0.569973359361085,-668.383116196644
"5",0.58246159916895,0.615979487864206,-669.366569626269
"6",0.402374347613473,1.03273068069851,-667.749154984104
"7",0.478972832677145,0.800085407788294,-667.804799528202
"8",0.631347339593789,0.570862764727163,-668.448830592194
