"","V1","V2","V3","V4","V5"
"1",0,0.02,0,0,0
"2",0,0.04,0,0,0
"3",0,0.06,0,0,0
"4",0,0.08,0,0,0
"5",0,0.1,0,0,0
"6",0,0.12,0,0,0
"7",0,0.14,0,0,0
"8",0,0.16,0,0,0
"9",0,0.18,0,0,0
"10",0,0.2,0,0,0
"11",0,0.22,0,0,0
"12",0,0.24,0,0,0
"13",0,0.26,0,0,0
"14",0,0.28,0,0,0
"15",0,0.3,0,0,0
"16",0,0.32,0,0,0
"17",0,0.34,0,0,0
"18",0,0.36,0,0,0
"19",0,0.38,0,0,0
"20",0,0.4,0,0,0
"21",0,0.42,0,0,0
"22",0,0.44,0,0,0
"23",0,0.46,0,0,0
"24",0,0.48,0,0,0
"25",0,0.5,0,0,0
"26",0,0.52,0,0,0
"27",0,0.54,0,0,0
"28",0,0.56,0,0,0
"29",0,0.58,0,0,0
"30",0,0.6,0,0,0
"31",0,0.62,0,0,0
"32",0,0.64,0,0,0
"33",0,0.66,0,0,0
"34",0,0.68,0,0,0
"35",0,0.7,0,0,0
"36",0,0.72,0,0,0
"37",0,0.74,0,0,0
"38",0,0.76,0,0,0
"39",0,0.78,0,0,0
"40",0,0.8,0,0,0
"41",0,0.82,0,0,0
"42",0,0.84,0,0,0
"43",0,0.86,0,0,0
"44",0,0.88,0,0,0
"45",0,0.9,0,0,0
"46",0,0.92,0,0,0
"47",0,0.94,0,0,0
"48",0,0.96,0,0,0
"49",0,0.98,0,0,0
"","V1","V2","V3","V4","V5"
"1",0.02,0.02,4.2,0.019975,0.02006
"2",0.02,0.04,7,0.040365,0.03976
"3",0.02,0.06,7.2,0.05993,0.06048
"4",0.02,0.08,5.3,0.07963,0.08054
"5",0.02,0.1,5.1,0.100965,0.09998
"6",0.02,0.12,4.2,0.1207,0.12122
"7",0.02,0.14,4.6,0.14059,0.14012
"8",0.02,0.16,6.3,0.158815,0.1582
"9",0.02,0.18,4.5,0.178635,0.17856
"10",0.02,0.2,4,0.198845,0.19912
"11",0.02,0.22,5.7,0.21892,0.2226
"12",0.02,0.24,5.6,0.24003,0.23932
"13",0.02,0.26,7.1,0.259275,0.261
"14",0.02,0.28,6.5,0.279745,0.28078
"15",0.02,0.3,5.9,0.300605,0.30146
"16",0.02,0.32,4.9,0.319825,0.31748
"17",0.02,0.34,5.6,0.339445,0.34014
"18",0.02,0.36,5.8,0.36021,0.35948
"19",0.02,0.38,4.5,0.37874,0.37964
"20",0.02,0.4,5.6,0.400535,0.40206
"21",0.02,0.42,5.6,0.42205,0.42284
"22",0.02,0.44,5.1,0.441035,0.43936
"23",0.02,0.46,5.3,0.460665,0.46016
"24",0.02,0.48,5.6,0.479275,0.48446
"25",0.02,0.5,5,0.500275,0.4983
"26",0.02,0.52,5.6,0.521285,0.5203
"27",0.02,0.54,5.1,0.5392,0.54204
"28",0.02,0.56,5.3,0.55704,0.55902
"29",0.02,0.58,6.2,0.580015,0.57938
"30",0.02,0.6,5.6,0.60135,0.5953
"31",0.02,0.62,4.5,0.621,0.61852
"32",0.02,0.64,5.2,0.639355,0.6412
"33",0.02,0.66,5.8,0.660465,0.6623
"34",0.02,0.68,5.4,0.68195,0.68074
"35",0.02,0.7,5.4,0.69901,0.69852
"36",0.02,0.72,5.6,0.71781,0.71858
"37",0.02,0.74,5.4,0.739745,0.74064
"38",0.02,0.76,5.4,0.760475,0.76176
"39",0.02,0.78,4.5,0.78061,0.77856
"40",0.02,0.8,4.8,0.79943,0.8
"41",0.02,0.82,6.8,0.819435,0.81882
"42",0.02,0.84,5.3,0.839845,0.84126
"43",0.02,0.86,4.2,0.85991,0.8612
"44",0.02,0.88,5.9,0.87895,0.88124
"45",0.02,0.9,6.5,0.90108,0.90242
"46",0.02,0.92,6.5,0.91947,0.92172
"47",0.02,0.94,6.2,0.94034,0.94038
"48",0.02,0.96,7.7,0.96026,0.96082
"49",0.02,0.98,3.9,0.980435,0.98004
"","V1","V2","V3","V4","V5"
"1",0.04,0.02,3.2,0.020145,0.02004
"2",0.04,0.04,8.3,0.03979,0.03918
"3",0.04,0.06,6.9,0.061015,0.06178
"4",0.04,0.08,5.7,0.07977,0.07932
"5",0.04,0.1,5.1,0.099585,0.09902
"6",0.04,0.12,4.7,0.11873,0.11996
"7",0.04,0.14,4.9,0.138645,0.13884
"8",0.04,0.16,6,0.16064,0.15822
"9",0.04,0.18,5.5,0.1802,0.18122
"10",0.04,0.2,6,0.20166,0.19784
"11",0.04,0.22,6.1,0.21982,0.2195
"12",0.04,0.24,6.5,0.239,0.23982
"13",0.04,0.26,6,0.2601,0.25884
"14",0.04,0.28,5.3,0.280135,0.27916
"15",0.04,0.3,5.3,0.2999,0.30058
"16",0.04,0.32,4.5,0.31949,0.32258
"17",0.04,0.34,5.8,0.33985,0.34258
"18",0.04,0.36,5.6,0.358375,0.35708
"19",0.04,0.38,6.6,0.37949,0.38232
"20",0.04,0.4,5.5,0.39853,0.39724
"21",0.04,0.42,5.6,0.418745,0.42286
"22",0.04,0.44,5.8,0.44191,0.43936
"23",0.04,0.46,4.5,0.461885,0.4592
"24",0.04,0.48,5.6,0.479665,0.47782
"25",0.04,0.5,6,0.500535,0.50266
"26",0.04,0.52,5.7,0.51895,0.5188
"27",0.04,0.54,5.9,0.54174,0.53722
"28",0.04,0.56,4.8,0.56024,0.55582
"29",0.04,0.58,4.6,0.579275,0.58052
"30",0.04,0.6,5.6,0.600845,0.59998
"31",0.04,0.62,5.4,0.619615,0.6187
"32",0.04,0.64,4.1,0.639095,0.63686
"33",0.04,0.66,5.2,0.659965,0.65802
"34",0.04,0.68,4.3,0.67822,0.6762
"35",0.04,0.7,5.5,0.702305,0.69824
"36",0.04,0.72,6.6,0.720735,0.7206
"37",0.04,0.74,7,0.73917,0.74002
"38",0.04,0.76,5,0.759995,0.75532
"39",0.04,0.78,5.1,0.78057,0.77878
"40",0.04,0.8,5.2,0.799285,0.79936
"41",0.04,0.82,4.9,0.81848,0.81888
"42",0.04,0.84,6.9,0.840605,0.84092
"43",0.04,0.86,5.4,0.860445,0.85894
"44",0.04,0.88,5.7,0.878835,0.8779
"45",0.04,0.9,5.4,0.89976,0.89824
"46",0.04,0.92,6.1,0.92019,0.91958
"47",0.04,0.94,7.7,0.94048,0.9392
"48",0.04,0.96,7,0.959445,0.96126
"49",0.04,0.98,4.1,0.980105,0.98034
"","V1","V2","V3","V4","V5"
"1",0.06,0.02,2.7,0.01892,0.01956
"2",0.06,0.04,7.6,0.0395,0.039
"3",0.06,0.06,7.2,0.05989,0.05966
"4",0.06,0.08,5.9,0.07962,0.08024
"5",0.06,0.1,4.9,0.09941,0.1009
"6",0.06,0.12,6.4,0.1198,0.1185
"7",0.06,0.14,4.5,0.14009,0.14124
"8",0.06,0.16,5.6,0.15893,0.16022
"9",0.06,0.18,5.8,0.178445,0.18038
"10",0.06,0.2,3.5,0.200205,0.20056
"11",0.06,0.22,4.9,0.21975,0.22206
"12",0.06,0.24,4.5,0.24115,0.2379
"13",0.06,0.26,5.1,0.26145,0.26256
"14",0.06,0.28,5.6,0.280135,0.27638
"15",0.06,0.3,4.6,0.29933,0.3006
"16",0.06,0.32,4.4,0.32086,0.3201
"17",0.06,0.34,5.7,0.3401,0.33434
"18",0.06,0.36,6.2,0.35989,0.3588
"19",0.06,0.38,5.2,0.378225,0.37658
"20",0.06,0.4,6.5,0.400955,0.39636
"21",0.06,0.42,7.3,0.4201,0.42018
"22",0.06,0.44,4.3,0.43839,0.4371
"23",0.06,0.46,5.4,0.46163,0.4586
"24",0.06,0.48,5.9,0.479495,0.4835
"25",0.06,0.5,5.4,0.4991,0.5015
"26",0.06,0.52,4.5,0.5187,0.51806
"27",0.06,0.54,4.8,0.538905,0.5405
"28",0.06,0.56,4.9,0.559225,0.5566
"29",0.06,0.58,4.5,0.580395,0.5741
"30",0.06,0.6,5.1,0.600065,0.59874
"31",0.06,0.62,5.7,0.616625,0.6209
"32",0.06,0.64,5.6,0.640375,0.63904
"33",0.06,0.66,5.1,0.660705,0.66044
"34",0.06,0.68,5.3,0.680375,0.67694
"35",0.06,0.7,4.5,0.70081,0.69954
"36",0.06,0.72,4.4,0.720425,0.71816
"37",0.06,0.74,5.3,0.741,0.73798
"38",0.06,0.76,5,0.759525,0.75924
"39",0.06,0.78,6,0.7805,0.77758
"40",0.06,0.8,4.6,0.800765,0.7966
"41",0.06,0.82,5.7,0.82136,0.81756
"42",0.06,0.84,6.5,0.83973,0.84008
"43",0.06,0.86,5.9,0.86008,0.85862
"44",0.06,0.88,4.8,0.87935,0.87548
"45",0.06,0.9,6.1,0.90017,0.8957
"46",0.06,0.92,6,0.920355,0.91838
"47",0.06,0.94,6.3,0.9406,0.93826
"48",0.06,0.96,6.5,0.95992,0.95898
"49",0.06,0.98,2.8,0.98028,0.9792
"","V1","V2","V3","V4","V5"
"1",0.08,0.02,3.3,0.020045,0.02026
"2",0.08,0.04,8.2,0.040235,0.04098
"3",0.08,0.06,5.9,0.06006,0.0601
"4",0.08,0.08,6.1,0.08062,0.07854
"5",0.08,0.1,4.8,0.099325,0.0981
"6",0.08,0.12,5.8,0.120375,0.11964
"7",0.08,0.14,5.4,0.140705,0.14118
"8",0.08,0.16,4.9,0.15989,0.15868
"9",0.08,0.18,5.9,0.17966,0.179
"10",0.08,0.2,3.9,0.20207,0.20126
"11",0.08,0.22,5.5,0.219215,0.21916
"12",0.08,0.24,4.5,0.23874,0.24228
"13",0.08,0.26,4.1,0.2603,0.26014
"14",0.08,0.28,5.3,0.28209,0.2775
"15",0.08,0.3,4.9,0.301385,0.30008
"16",0.08,0.32,4.8,0.31911,0.32174
"17",0.08,0.34,6,0.33943,0.33724
"18",0.08,0.36,4.8,0.360335,0.3593
"19",0.08,0.38,6,0.38157,0.37946
"20",0.08,0.4,4.3,0.39926,0.39606
"21",0.08,0.42,5.1,0.419395,0.4156
"22",0.08,0.44,5.1,0.44006,0.43812
"23",0.08,0.46,4.7,0.458705,0.45746
"24",0.08,0.48,5.3,0.47938,0.47536
"25",0.08,0.5,5.8,0.50287,0.49778
"26",0.08,0.52,6.4,0.518105,0.51452
"27",0.08,0.54,5.4,0.539685,0.54304
"28",0.08,0.56,4.8,0.56024,0.55268
"29",0.08,0.58,5.9,0.578885,0.57702
"30",0.08,0.6,5.5,0.60003,0.59806
"31",0.08,0.62,5,0.62043,0.62158
"32",0.08,0.64,4.8,0.63972,0.63922
"33",0.08,0.66,5.3,0.660915,0.6572
"34",0.08,0.68,3.2,0.68165,0.67912
"35",0.08,0.7,4,0.699575,0.69906
"36",0.08,0.72,5.1,0.720355,0.72136
"37",0.08,0.74,4.9,0.74047,0.73606
"38",0.08,0.76,5.3,0.76055,0.75654
"39",0.08,0.78,5.1,0.780545,0.78014
"40",0.08,0.8,5.9,0.80002,0.7938
"41",0.08,0.82,5.2,0.81951,0.81478
"42",0.08,0.84,4.4,0.838835,0.83644
"43",0.08,0.86,6.6,0.86062,0.8556
"44",0.08,0.88,4.8,0.87998,0.8756
"45",0.08,0.9,6.3,0.899215,0.8979
"46",0.08,0.92,5.6,0.92032,0.9159
"47",0.08,0.94,5.8,0.94039,0.93802
"48",0.08,0.96,8,0.95951,0.9573
"49",0.08,0.98,4.6,0.980385,0.97772
"","V1","V2","V3","V4","V5"
"1",0.1,0.02,4.3,0.019775,0.02028
"2",0.1,0.04,7.3,0.04002,0.03926
"3",0.1,0.06,6.9,0.059725,0.06108
"4",0.1,0.08,6.1,0.08068,0.0801
"5",0.1,0.1,4.9,0.100685,0.09928
"6",0.1,0.12,5.7,0.120245,0.12094
"7",0.1,0.14,4.9,0.13995,0.13866
"8",0.1,0.16,6.4,0.160045,0.16108
"9",0.1,0.18,5.2,0.180415,0.17788
"10",0.1,0.2,5.1,0.199705,0.20234
"11",0.1,0.22,5.1,0.21921,0.2172
"12",0.1,0.24,5,0.23945,0.24392
"13",0.1,0.26,4.6,0.259705,0.26266
"14",0.1,0.28,5.3,0.27944,0.27906
"15",0.1,0.3,5.6,0.299395,0.29902
"16",0.1,0.32,4.6,0.320075,0.31516
"17",0.1,0.34,5.4,0.33837,0.33766
"18",0.1,0.36,6,0.359915,0.35714
"19",0.1,0.38,6.2,0.380495,0.37906
"20",0.1,0.4,6.2,0.39919,0.40146
"21",0.1,0.42,5.5,0.42176,0.41608
"22",0.1,0.44,4.7,0.44108,0.43722
"23",0.1,0.46,5.1,0.460085,0.45908
"24",0.1,0.48,6.1,0.482235,0.47616
"25",0.1,0.5,6.3,0.49994,0.50158
"26",0.1,0.52,6.3,0.520175,0.51842
"27",0.1,0.54,5.4,0.53988,0.53784
"28",0.1,0.56,4.9,0.561295,0.55658
"29",0.1,0.58,4.8,0.58072,0.58012
"30",0.1,0.6,5.3,0.600115,0.59684
"31",0.1,0.62,4.7,0.620015,0.61678
