Time	ID	Naive exposed	Naive infected	Focal exposed	Focal infected
0.721793	1501	1	0	0	0
1.68255	5047	1	0	0	0
2.1512	7053	0	0	0	0
3.0432	3995	3	0	0	0
3.35318	6323	3	2	0	0
3.6237	2472	5	1	0	0
4.44865	6566	7	3	0	0
4.54906	3750	1	0	0	0
4.88334	8063	0	0	0	0
4.90993	2338	1	0	0	0
4.91053	2060	3	1	0	0
5.20969	7021	1	1	0	0
5.23792	3990	6	2	0	0
5.92506	4988	2	0	0	0
6.25525	9815	0	0	0	0
6.27173	8818	3	1	0	0
6.27461	9441	3	1	0	0
6.42457	4403	3	1	0	0
7.17015	6016	6	2	0	0
8.54267	6117	1	1	0	0
8.62655	7211	0	0	0	0
8.68858	5790	2	1	0	0
8.84405	1666	0	0	0	0
9.26556	7356	3	2	0	0
9.685	6252	3	1	0	0
10.4622	1307	10	2	0	0
10.5622	284	0	0	0	0
11.0488	4308	11	3	0	0
11.2554	9592	0	0	0	0
11.537	4372	4	1	0	0
11.8742	5927	6	2	0	0
12.4083	8944	1	1	0	0
12.6244	7465	2	2	0	0
12.7588	3656	4	1	0	0
12.8617	8534	0	0	0	0
12.9586	7735	14	3	0	0
13.1423	4511	3	0	0	0
13.2326	2355	0	0	0	0
13.2509	6613	4	1	0	0
13.3546	6404	7	1	0	0
13.375	8157	5	2	0	0
13.3836	5407	1	0	0	0
13.39	5849	1	0	0	0
13.4058	1615	1	0	0	0
13.4144	9053	3	1	0	0
13.4174	3109	1	1	0	0
13.4959	1286	3	0	0	0
13.521	8110	18	7	0	0
13.567	3110	5	0	0	0
13.6668	4660	0	0	0	0
13.7132	3816	3	0	0	0
13.9552	8852	0	0	0	0
13.9959	8079	12	5	0	0
14.0368	4381	7	1	0	0
14.1014	2829	1	0	0	0
14.3364	1424	4	0	0	0
14.4559	3319	4	0	0	0
14.4859	79	2	0	0	0
14.6043	5456	4	1	1	0
14.6273	9220	5	2	0	0
14.6357	1009	4	0	0	0
14.6701	6159	1	0	0	0
14.8843	260	2	0	0	0
14.9011	128	4	0	0	0
14.9342	5973	7	1	0	0
15.232	3344	0	0	0	0
15.2522	5531	4	0	0	0
15.352	3308	3	1	0	0
15.4525	6270	2	1	1	0
15.4943	9981	6	2	0	0
15.5927	4426	0	0	0	0
15.671	9492	0	0	0	0
15.6875	5120	3	1	1	0
15.8673	6757	4	2	0	0
15.9455	6260	3	3	0	0
15.9898	1699	2	0	0	0
16.0112	815	0	0	0	0
16.0218	1482	7	1	0	0
16.106	5398	1	0	0	0
16.1394	8241	5	1	0	0
16.1838	8810	21	9	0	0
16.2086	4835	2	1	0	0
16.4754	2709	0	0	0	0
16.4955	812	3	1	0	0
16.5118	9069	20	6	0	0
16.5162	1789	14	3	0	0
16.5294	1682	1	1	0	0
16.5764	4495	0	0	0	0
