Time	ID	Naive exposed	Naive infected	Focal exposed	Focal infected
1.17858	9213	0	0	0	0
1.65285	5163	2	0	0	0
2.25927	6928	3	0	0	0
2.30298	9309	3	0	0	0
2.95389	240	0	0	0	0
2.97417	290	2	0	0	0
3.6918	9905	3	1	0	0
5.16163	1169	1	0	0	0
5.28269	1680	1	0	0	0
5.64082	2634	9	2	0	0
5.92113	4394	11	4	0	0
6.07457	7705	0	0	0	0
6.92758	7095	1	0	0	0
7.06976	2027	4	0	0	0
7.16669	8868	2	0	0	0
7.19933	3827	1	1	0	0
7.81827	8590	0	0	0	0
7.82892	20	5	1	0	0
8.1707	6170	5	1	0	0
8.35581	193	2	0	0	0
8.44601	7551	1	0	0	0
8.6452	6962	2	1	0	0
8.65106	4155	10	4	0	0
8.95855	8351	1	0	0	0
9.22806	9652	2	2	0	0
9.62356	3451	0	0	0	0
9.68824	8998	6	1	0	0
9.80475	6622	14	3	0	0
9.88867	4668	13	1	0	0
10.2588	1175	0	0	0	0
10.2608	581	3	0	1	0
10.273	5194	5	1	0	0
10.4435	6477	2	1	0	0
10.4535	1369	2	0	0	0
10.4721	2627	1	0	0	0
10.4966	7717	2	1	0	0
10.7836	6197	4	1	0	0
11.0507	2728	2	1	1	0
11.3282	5519	3	1	0	0
11.4872	2225	4	1	0	0
11.5107	7732	1	0	0	0
11.5152	6947	0	0	0	0
11.5176	2514	2	0	0	0
11.6734	6972	2	0	0	0
11.6788	4962	15	5	0	0
11.6986	7060	4	2	0	0
11.7099	1519	0	0	0	0
11.7522	1850	4	1	0	0
11.8112	1718	9	3	0	0
11.84	8461	0	0	0	0
11.8604	1946	8	3	1	0
11.9433	3943	1	1	0	0
11.9998	6687	3	0	0	0
12.1362	5532	2	0	0	0
12.1747	219	6	0	0	0
12.2744	4662	12	3	0	0
12.2913	2246	2	0	0	0
12.3457	5966	2	1	0	0
12.5131	9276	6	4	0	0
12.7975	4745	3	0	0	0
12.9016	1535	8	2	0	0
12.9164	6720	1	0	0	0
12.9769	1342	13	4	0	0
13.1181	8357	11	0	0	0
13.1462	7779	1	0	0	0
13.3691	5878	2	2	0	0
13.5638	5237	9	3	0	0
13.6749	5975	3	3	0	0
13.7174	1062	0	0	0	0
13.7918	5114	9	1	0	0
13.9122	2061	17	4	0	0
14.0471	7520	2	1	0	0
14.06	9052	0	0	0	0
14.3597	8111	9	1	1	0
14.4536	9284	4	2	0	0
14.5248	2424	10	2	0	0
14.5697	5214	4	3	0	0
14.575	2913	4	3	0	0
14.6116	2106	1	0	1	0
14.6151	7350	3	2	1	0
14.6594	9367	5	2	0	0
14.6745	5150	12	5	1	0
14.6922	9103	11	3	1	0
14.8216	4618	0	0	0	0
14.9535	1434	2	0	1	0
14.9977	4326	1	0	0	0
15.0069	5941	4	0	0	0
15.0259	6701	3	1	0	0
15.0552	7161	7	0	0	0
15.168	544	7	1	0	0
15.17	3680	1	0	0	0
15.1972	8865	2	0	1	0
15.2646	8505	9	3	0	0
15.2813	30	0	0	0	0
15.3497	679	2	0	0	0
15.358	3778	7	3	0	0
15.4413	5718	0	0	0	0
15.4558	2455	0	0	0	0
15.4862	6198	4	2	0	0
15.5166	7490	3	0	0	0
15.5803	444	6	3	0	0
15.6357	3377	4	1	0	0
15.7402	4957	8	2	0	0
15.7468	6908	0	0	0	0
15.7591	4990	14	5	0	0
15.7634	1511	0	0	0	0
15.7722	1901	1	0	0	0
15.7816	8830	7	0	0	0
15.8562	7659	7	3	1	0
15.8749	9366	2	0	0	0
15.9555	6952	1	0	0	0
15.9744	6923	6	3	0	0
15.9817	868	0	0	0	0
16.0611	573	1	1	0	0
16.0666	7535	3	0	1	0
16.1594	1216	3	1	0	0
16.2166	8750	20	11	1	0
16.2193	2375	4	1	0	0
16.4286	1783	1	0	0	0
16.4304	222	1	1	0	0
16.526	6261	4	0	1	0
16.5305	3574	0	0	0	0
16.554	896	0	0	0	0
16.5609	4788	3	0	0	0
16.5637	5808	3	1	0	0
16.6616	6083	1	1	0	0
16.6829	5861	8	2	0	0
16.6841	7999	0	0	0	0
16.6847	3238	6	0	1	0
16.6854	1115	2	1	0	0
16.7422	8450	1	0	0	0
16.7609	1888	3	0	0	0
16.788	5433	1	1	0	0
16.9055	2926	0	0	0	0
16.9194	5913	1	1	0	0
16.9363	4226	2	0	0	0
16.9446	3604	3	2	0	0
17.0401	9929	11	1	3	0
17.0896	3331	3	1	0	0
17.1146	1729	1	1	0	0
17.1613	5304	1	0	0	0
17.1882	7536	2	1	0	0
17.2866	9391	8	2	0	0
17.4123	607	4	2	0	0
17.4468	5466	7	3	0	0
17.5045	5356	3	0	0	0
17.5514	1198	3	0	0	0
17.5543	257	4	1	1	0
17.5855	4375	5	2	0	0
17.5875	5662	0	0	1	0
17.6642	5906	1	0	0	0
17.7623	5374	4	2	0	0
17.7723	8131	5	0	2	0
17.7915	4538	0	0	0	0
17.8292	7236	1	0	0	0
17.8394	6228	0	0	0	0
17.8629	3264	3	0	0	0
17.8868	9621	1	0	0	0
17.8966	4301	5	2	0	0
17.9483	8195	0	0	1	0
18.0453	6113	2	0	0	0
18.0479	8028	0	0	0	0
18.0561	9335	5	3	1	0
18.0676	5405	0	0	0	0
18.0796	9075	0	0	0	0
18.0901	2013	4	0	0	0
18.0928	2858	0	0	0	0
18.1142	3522	1	0	0	0
18.2138	8036	2	0	0	0
18.2571	8268	0	0	0	0
18.3165	3070	9	1	0	0
18.3314	7549	8	1	0	0
18.3671	7861	0	0	0	0
18.4216	2937	6	3	1	1
18.4607	3349	1	0	1	0
18.4745	9287	6	1	1	0
18.5363	3764	0	0	0	0
18.5533	8835	0	0	0	0
18.5629	7256	6	2	0	0
18.5794	7521	6	3	0	0
18.6267	1367	13	2	0	0
18.6413	6313	5	1	0	0
18.6484	769	0	0	0	0
18.6705	3288	0	0	0	0
18.7096	4894	0	0	0	0
18.7364	6250	4	0	0	0
18.7506	3748	0	0	0	0
18.8292	3047	5	1	1	0
18.8499	4846	8	0	2	0
18.8677	5935	0	0	1	0
18.8775	7346	0	0	0	0
18.8802	9896	0	0	1	0
18.9148	2307	3	1	0	0
18.9162	2065	0	0	0	0
18.9202	454	0	0	0	0
18.9405	4758	13	4	1	0
18.96	7104	4	1	0	0
18.9854	3564	0	0	0	0
18.9966	1677	14	2	1	0
19.0134	6304	3	0	0	0
19.0618	8278	10	1	0	0
19.0714	6468	4	0	0	0
19.0807	603	7	1	1	0
19.1157	9118	6	1	1	0
19.1205	931	4	2	0	0
19.1257	447	9	3	2	0
19.1419	8872	2	0	0	0
19.1465	2102	6	2	2	0
19.1559	9822	1	0	0	0
19.1643	117	2	1	0	0
19.1753	2147	2	0	0	0
19.2059	5452	10	3	0	0
19.2069	3881	6	1	2	0
19.2469	5875	3	0	0	0
19.2918	958	0	0	0	0
19.3063	5938	2	1	0	0
19.3264	184	2	1	1	1
19.381	1670	2	0	0	0
19.3876	5999	7	2	1	0
19.4191	1985	3	0	0	0
19.4282	6852	2	1	0	0
19.4777	905	12	2	3	0
19.4829	4061	0	0	0	0
19.4938	5	2	1	0	0
19.5014	2713	0	0	0	0
19.5098	258	1	1	0	0
19.5422	1447	1	1	0	0
19.5425	2333	1	1	0	0
19.5649	7537	3	1	0	0
19.5885	1994	10	4	0	0
19.6285	6338	6	2	2	1
19.6725	7391	0	0	2	1
