"","V1","V2","V3","V4"
"1",0.759421125054359,0.104837662446955,0.215214314404875,-7.82404601085629
"2",0.441010383889079,0.00390152751453519,0.555370038375258,-7.41858090274813
"3",0.55173982004635,0.0386887646672277,0.420838814228773,-8.51719319141624
"4",0.84670695126988,0.133704998707835,0.157854529796168,-7.41858090274813
"5",0.84670695126988,0.133704998707835,0.157854529796168,-7.41858090274813
"6",0.768105700146407,0.147747136313124,0.163093412527815,-7.82404601085629
"7",0.684525011340156,0.107907134356135,0.236192215466872,-7.82404601085629
"8",0.643046745331958,0.113467624181454,0.265095484443009,-6.72543372218818
"9",0.780886668013409,0.133818147890739,0.191409709630534,-7.26443022292087
"10",0.780886668013409,0.133818147890739,0.191409709630534,-7.26443022292087
"11",0.566162932431325,0.0294045911408074,0.405947807710618,-8.51719319141624
"12",0.536166123114526,0.00886672771095469,0.482607491780072,-9.21034037197618
"13",0.51939810719341,0.0489629406263332,0.449886117596179,-7.82404601085629
"14",0.580070036929101,0.0381364146250179,0.380053067114204,-8.51719319141624
"15",0.71707328571938,0.12491512187128,0.247214411851019,-7.82404601085629
"","V1","V2","V3","V4"
"1",0.71707328571938,0.12491512187128,0.247214411851019,-7.82404601085629
"2",0.596042760647833,0.118366858792065,0.273920587264001,-8.51719319141624
"3",0.791530760703608,0.165943022140115,0.125364424427971,-9.21034037197618
"4",0.800802208017558,0.126200748332306,0.170200419379398,-6.72543372218818
"5",0.600397108122706,0.0778271440753862,0.336593787651509,-6.72543372218818
"6",0.525070689385757,0.0650152061351381,0.375622266670689,-7.60090245954208
"7",0.472702684812248,0.0472467380979043,0.449777715373784,-7.13089883029635
"8",0.472702684812248,0.0472467380979043,0.449777715373784,-7.13089883029635
"9",0.78162503009662,0.134606998975763,0.198125939816236,-8.51719319141624
"10",0.674593646777794,0.0961964960674879,0.251060111215338,-8.51719319141624
"11",0.488436897285283,0.0745988803107988,0.406861069146544,-7.41858090274813
"12",0.787484801840037,0.12613842512148,0.19745926046744,-7.82404601085629
"13",0.517144771292806,0.0708167984355521,0.408446834189817,-8.51719319141624
"14",0.578359321691096,0.0605051383163605,0.350038548465818,-8.51719319141624
"15",0.520449248841032,0.0124300726374269,0.450970887672156,-7.82404601085629
"","V1","V2","V3","V4"
"1",0.762923545669764,0.137037775025795,0.15870096697472,-7.01311579463996
"2",0.762923545669764,0.137037775025795,0.15870096697472,-7.01311579463996
"3",0.762923545669764,0.137037775025795,0.15870096697472,-7.01311579463996
"4",0.540216585155576,0.0497716625858674,0.410533635411412,-6.90775527898214
"5",0.540216585155576,0.0497716625858674,0.410533635411412,-6.90775527898214
"6",0.540216585155576,0.0497716625858674,0.410533635411412,-6.90775527898214
"7",0.563751872396097,0.0519745499828657,0.390441700117663,-6.90775527898214
"8",0.582049805670977,0.0790440847293484,0.357607275946066,-8.11172808330807
"9",0.582049805670977,0.0790440847293484,0.357607275946066,-8.11172808330807
"10",0.973794272867963,0.182481581616973,0.0851892994251102,-8.51719319141624
"11",0.584340076195076,0.131014037825528,0.248941157013178,-9.21034037197618
"12",0.518018440809101,0.0252669876175699,0.46042904839851,-7.13089883029635
"13",0.518018440809101,0.0252669876175699,0.46042904839851,-7.13089883029635
"14",0.450661671580747,0.0188271380188383,0.52054827217944,-8.11172808330807
"15",0.717409506440163,0.142114782427725,0.181346796452999,-7.41858090274813
"","V1","V2","V3","V4"
"1",0.794065844267607,0.143029624629412,0.16032847459428,-7.41858090274813
"2",0.446446196641773,0.0560327073526603,0.465753264725208,-8.51719319141624
"3",0.433197840116918,0.0121349404382477,0.561401719693094,-8.51719319141624
"4",0.450121300527826,0.00101893073559149,0.526234760181978,-7.82404601085629
"5",0.586082966299728,0.120172752178946,0.27942859288305,-8.51719319141624
"6",0.88447237177752,0.129138900379375,0.169886196497828,-7.82404601085629
"7",0.88447237177752,0.129138900379375,0.169886196497828,-7.82404601085629
"8",0.88447237177752,0.129138900379375,0.169886196497828,-7.82404601085629
"9",0.558517250465229,0.121092590168233,0.302329658530653,-8.51719319141624
"10",0.950103467563167,0.170694359169866,0.0965590118430555,-6.31996861408002
"11",0.775175272254273,0.183645557988569,0.117749597411603,-7.82404601085629
"12",0.513349986169487,0.0655747146280623,0.403703870484605,-6.72543372218818
"13",0.513349986169487,0.0655747146280623,0.403703870484605,-6.72543372218818
"14",0.513349986169487,0.0655747146280623,0.403703870484605,-6.72543372218818
"15",0.831093640066683,0.149630857305494,0.154354975093156,-8.51719319141624
"","V1","V2","V3","V4"
"1",0.804183750413358,0.153857164223029,0.162019775249064,-9.21034037197618
"2",0.792332665994763,0.130053954593992,0.185660063521937,-6.72543372218818
"3",0.72454933472909,0.125024859660344,0.193604982690886,-7.13089883029635
"4",0.599816813366488,0.0174916672413808,0.394021344603971,-8.11172808330807
"5",0.499338897643611,0.0652994300342212,0.404175914824009,-7.41858090274813
"6",0.508589822333306,0.0905004117226264,0.378198211546987,-9.21034037197618
"7",0.704667425947264,0.107043032473327,0.259785194182768,-7.13089883029635
"8",0.704667425947264,0.107043032473327,0.259785194182768,-7.13089883029635
"9",0.704667425947264,0.107043032473327,0.259785194182768,-7.13089883029635
"10",0.943333003204316,0.16848353882658,0.098848371533677,-7.82404601085629
"11",0.869301195023581,0.154492887867593,0.150816893437877,-7.82404601085629
"12",0.780625419225544,0.102192158963718,0.218661666614935,-8.11172808330807
"13",0.621027869638056,0.0436164346191114,0.390720442635939,-7.60090245954208
"14",0.621027869638056,0.0436164346191114,0.390720442635939,-7.60090245954208
"15",0.471402055816725,0.0146761290518557,0.480050712125376,-8.11172808330807
"","V1","V2","V3","V4"
"1",0.48471065168269,0.0557037365386351,0.448444483336061,-8.11172808330807
"2",0.516905171796679,0.0510682898450428,0.39814545866102,-8.11172808330807
"3",0.747111137956381,0.13119028657737,0.21139552607201,-7.82404601085629
"4",0.633573497878388,0.108793202665935,0.266991604818031,-7.41858090274813
"5",0.739102530525997,0.117203956965623,0.207686914829537,-6.72543372218818
"6",0.739102530525997,0.117203956965623,0.207686914829537,-6.72543372218818
"7",0.408149827038869,0.0231116782790662,0.597753520123661,-7.82404601085629
"8",0.515252375043929,0.0382821235292019,0.445332402130589,-7.60090245954208
"9",0.659017465077341,0.143635346043813,0.191851206123829,-8.11172808330807
"10",0.601493231486529,0.0538094236738761,0.36602366832085,-6.90775527898214
"11",0.601493231486529,0.0538094236738761,0.36602366832085,-6.90775527898214
"12",0.571829015854746,0.072730167723965,0.345729153836146,-6.72543372218818
"13",0.728011873317882,0.116634233119086,0.219116142019629,-6.50229017087397
"14",0.513805826660246,0.0124530176299105,0.490799812832847,-7.60090245954208
"15",0.982827276457101,0.166438025004591,0.103004920762032,-6.03228654162824
"","V1","V2","V3","V4"
"1",0.982827276457101,0.166438025004591,0.103004920762032,-6.03228654162824
"2",0.771748525323346,0.149658479909638,0.153187724761665,-7.82404601085629
"3",0.479573276825249,0.00294327828456301,0.506900412263349,-7.01311579463996
"4",0.705000350484625,0.170376367356723,0.147658728528768,-8.51719319141624
"5",0.705000350484625,0.170376367356723,0.147658728528768,-8.51719319141624
"6",0.89306972711347,0.145474111364072,0.121480878908187,-8.51719319141624
"7",0.448762536980212,0.0293757053890366,0.517398096853867,-7.41858090274813
"8",0.448762536980212,0.0293757053890366,0.517398096853867,-7.41858090274813
"9",0.448762536980212,0.0293757053890366,0.517398096853867,-7.41858090274813
"10",0.448762536980212,0.0293757053890366,0.517398096853867,-7.41858090274813
"11",0.448762536980212,0.0293757053890366,0.517398096853867,-7.41858090274813
"12",0.448762536980212,0.0293757053890366,0.517398096853867,-7.41858090274813
"13",0.542037229053676,0.061536509032481,0.381714436691254,-7.41858090274813
"14",0.476046509807929,0.0601868971573346,0.449375398689881,-8.51719319141624
"15",0.788461583200842,0.113480484932989,0.199111378984526,-7.41858090274813
"","V1","V2","V3","V4"
"1",0.671155946096405,0.0924102610059519,0.275083737913519,-6.72543372218818
"2",0.766520275734365,0.0900714664425178,0.248578302795067,-8.51719319141624
"3",0.940827332437038,0.167250428848558,0.104871547082439,-7.60090245954208
"4",0.940827332437038,0.167250428848558,0.104871547082439,-7.60090245954208
"5",0.489330589305609,0.0043168916071665,0.519296781392768,-8.51719319141624
"6",0.80854044854641,0.150486429659212,0.153408816317096,-6.72543372218818
"7",0.527219727402553,0.0517257444322092,0.417349302209914,-7.82404601085629
"8",0.508027039235458,0.0369883677479413,0.460522808134556,-7.41858090274813
"9",0.719740560278296,0.140603932783557,0.16849068691954,-9.21034037197618
"10",0.71948115201667,0.115750933397221,0.234918066998944,-8.51719319141624
"11",0.633271312108263,0.111917157825025,0.242239672224969,-8.51719319141624
"12",0.440070621436462,0.0525511252028559,0.491901485016569,-8.51719319141624
"13",0.677798857213929,0.10912367655202,0.243399227503687,-6.57128304236092
"14",0.677798857213929,0.10912367655202,0.243399227503687,-6.57128304236092
"15",0.72904222086072,0.124240645876261,0.191758975852281,-8.11172808330807
"","V1","V2","V3","V4"
"1",0.622429195791483,0.0879640237983495,0.323098395951092,-9.21034037197618
"2",0.58233700459823,0.0721788293327561,0.342912271618843,-8.51719319141624
"3",0.471548867877573,0.00880069321390924,0.527123750187457,-7.13089883029635
"4",0.529376216931269,0.0904854642747414,0.371485258685425,-9.21034037197618
"5",0.527715774253011,0.0883834156577353,0.354849043302238,-9.21034037197618
"6",0.571269020671025,0.100368816627646,0.294203047407791,-7.82404601085629
"7",0.55954390252009,0.0354695954747788,0.404928063275293,-8.11172808330807
"8",0.690343369729817,0.108416495355676,0.249523756559938,-7.13089883029635
"9",0.690343369729817,0.108416495355676,0.249523756559938,-7.13089883029635
"10",0.690343369729817,0.108416495355676,0.249523756559938,-7.13089883029635
"11",0.454896401148289,0.00802068596311392,0.51463231490925,-7.60090245954208
"12",0.757876670686528,0.156061909927436,0.148563895607367,-8.51719319141624
"13",0.962345074862242,0.172542151727104,0.110341469524428,-8.11172808330807
"14",0.914830375928432,0.158253670941637,0.127540927613154,-6.57128304236092
"15",0.914830375928432,0.158253670941637,0.127540927613154,-6.57128304236092
"","V1","V2","V3","V4"
"1",0.60460852808319,0.0550050300519443,0.369937577284873,-7.82404601085629
"2",0.60460852808319,0.0550050300519443,0.369937577284873,-7.82404601085629
"3",0.608398632612079,0.100732925907122,0.284084044164047,-7.41858090274813
"4",0.545268029207364,0.104564233696415,0.321713539306074,-8.51719319141624
"5",0.517718808026984,0.0579704488916779,0.422811658587307,-8.51719319141624
"6",0.557913180906326,0.103951234759949,0.301043501822278,-6.72543372218818
"7",0.609432492405176,0.0953666259337011,0.296127623179927,-8.11172808330807
"8",0.609432492405176,0.0953666259337011,0.296127623179927,-8.11172808330807
"9",0.562997710192576,0.0549582198948835,0.378810143796727,-8.51719319141624
"10",0.95578505541198,0.174524824465382,0.0979892301838845,-7.41858090274813
"11",0.586006495868787,0.0350770225970917,0.40927714924328,-7.82404601085629
"12",0.812754576094449,0.138190512133667,0.16593904606998,-6.57128304236092
"13",0.471609828295186,0.0963410920204772,0.387674350524321,-8.51719319141624
"14",0.484558187890798,0.00669628841099916,0.493100091582164,-8.51719319141624
"15",0.484558187890798,0.00669628841099916,0.493100091582164,-8.51719319141624
"","V1","V2","V3","V4"
"1",0.553171871928498,0.0198438990387182,0.426645732484758,-9.21034037197618
"2",0.480480067199096,0.00725322592991296,0.504041390260682,-6.31996861408002
"3",0.480480067199096,0.00725322592991296,0.504041390260682,-6.31996861408002
"4",0.480480067199096,0.00725322592991296,0.504041390260682,-6.31996861408002
"5",0.552984271897003,0.0332454691670906,0.435598691459745,-7.82404601085629
"6",0.447668035747483,0.00274110392860545,0.531378420535475,-7.60090245954208
"7",0.482674316037446,0.0472251446608551,0.453929940937087,-7.41858090274813
"8",0.482674316037446,0.0472251446608551,0.453929940937087,-7.41858090274813
"9",0.610771119594574,0.086650397329653,0.291812458308414,-6.4377516497364
"10",0.610771119594574,0.086650397329653,0.291812458308414,-6.4377516497364
"11",0.551844466943294,0.0845504156860398,0.342170766089112,-6.50229017087397
"12",0.551844466943294,0.0845504156860398,0.342170766089112,-6.50229017087397
"13",0.603630534838885,0.0117928093108364,0.418793639168143,-8.51719319141624
"14",0.737233343767002,0.110681958289196,0.223842595471069,-6.4377516497364
"15",0.782736137276515,0.158437491447971,0.144573618890718,-8.51719319141624
"","V1","V2","V3","V4"
"1",0.52138447877951,0.0562878581100616,0.384347025537863,-8.11172808330807
"2",0.613589111482725,0.0627811813087429,0.341819018824026,-7.60090245954208
"3",0.522107860073447,0.0149460531527485,0.469146157382056,-7.82404601085629
"4",0.825264787534252,0.165488413334514,0.134058949304745,-7.41858090274813
"5",0.497882534051314,0.0170350149628656,0.48039861000143,-7.82404601085629
"6",0.729584465967491,0.106921411688326,0.220324986381456,-8.11172808330807
"7",0.485532475169748,0.0254710734005338,0.474994098301977,-7.60090245954208
"8",0.602833163226023,0.0596576929021066,0.360793786821887,-7.82404601085629
"9",0.50014116987586,0.0434142981084574,0.444071350386366,-6.90775527898214
"10",0.708562515908852,0.0921984572076602,0.258453604998067,-7.41858090274813
"11",0.55983701092191,0.0408332106371432,0.405918652424589,-7.41858090274813
"12",0.832578015513718,0.155498388421836,0.124103612499312,-7.13089883029635
"13",0.572445278055966,0.0759560619896673,0.320178871741518,-8.11172808330807
"14",0.813140470301732,0.166998949494366,0.137759096221998,-9.21034037197618
"15",0.550284803146496,0.0759015184354973,0.371808423427865,-8.11172808330807
"","V1","V2","V3","V4"
"1",0.459465134656057,0.00534259289916288,0.555495466571301,-7.82404601085629
"2",0.621255642035976,0.101255073566078,0.278374214889482,-8.11172808330807
"3",0.515438970876858,0.0493521865392986,0.445690099848434,-7.82404601085629
"4",0.586705765686929,0.0893858601321689,0.331023280741647,-8.51719319141624
"5",0.873754805186763,0.160074687611752,0.13091389881447,-6.72543372218818
"6",0.600438932422549,0.0893173509805015,0.30842915805988,-6.90775527898214
"7",0.600438932422549,0.0893173509805015,0.30842915805988,-6.90775527898214
"8",0.835929854307324,0.123052979502788,0.191620863741264,-8.11172808330807
"9",0.641622016206384,0.0831110183556176,0.308142419205979,-9.21034037197618
"10",0.442670776508749,0.0802314179303402,0.444721643580124,-8.51719319141624
"11",0.547369593754411,0.0773170974581762,0.36368148564361,-8.51719319141624
"12",0.478306145407259,0.00898205053893691,0.48695834307,-8.51719319141624
"13",0.815178624819964,0.130053998961293,0.160712608834729,-8.51719319141624
"14",0.597250327700749,0.091873657623127,0.305779007496312,-7.01311579463996
"15",0.58415880263783,0.0622142698581634,0.358700847020373,-8.11172808330807
"","V1","V2","V3","V4"
"1",0.690161360194907,0.130387667924722,0.218155031790957,-9.21034037197618
"2",0.690161360194907,0.130387667924722,0.218155031790957,-9.21034037197618
"3",0.740184156922624,0.140534662777713,0.207053476944566,-8.51719319141624
"4",0.511668397346511,0.0893901373884345,0.371337015647441,-7.82404601085629
"5",0.948840872151777,0.168621305096654,0.116976144490764,-8.11172808330807
"6",0.490101810544729,0.0574948542455274,0.444034090498462,-7.82404601085629
"7",0.490101810544729,0.0574948542455274,0.444034090498462,-7.82404601085629
"8",0.492617250885814,0.0467274690212234,0.450863496167585,-8.51719319141624
"9",0.492617250885814,0.0467274690212234,0.450863496167585,-8.51719319141624
"10",0.458067497005686,0.00891948153619852,0.530234220903367,-6.90775527898214
"11",0.458067497005686,0.00891948153619852,0.530234220903367,-6.90775527898214
"12",0.803056956967339,0.155753336934882,0.135951192118227,-8.51719319141624
"13",0.48118546535261,0.0296282734973366,0.484633028740063,-7.41858090274813
"14",0.645569883519784,0.096551333358784,0.277876816457137,-7.82404601085629
"15",0.645569883519784,0.096551333358784,0.277876816457137,-7.82404601085629
"","V1","V2","V3","V4"
