"","V1","V2","V3","V4"
"1",0.413613921962678,0.0138887060773841,0.582206465769559,-4.30506559353775
"2",0.310802003601566,0.165022581951728,0.668103965464979,-7.26443022292087
"3",0.223074635723606,0.212395062414133,0.189885828876868,-6.50229017087397
"4",0.515727318590507,0.131572089522587,0.308368344558403,-5.25909665339475
"5",0.231380688259378,0.169170872593084,0.623299634782597,-7.82404601085629
"6",0.921403157757595,0.185219357757729,0.103310478851199,-4.52820914485196
"7",0.333423834759742,0.201936656490327,0.371912139467895,-5.06720564558465
"8",0.26070133340545,0.00404654762136432,0.89684171974659,-4.96184512992682
"9",0.595016037812456,0.153321466996697,0.21357915434055,-4.60517018598809
"10",0.425876918947324,0.0972715175982017,0.409794914769009,-4.93367425296013
"11",0.485072857700288,0.135854205995894,0.383583013433963,-6.21460809842219
"12",0.781204010127112,0.09015194152452,0.218990217428654,-6.57128304236092
"13",0.494186122901738,0.0424387292724658,0.508333151228726,-5.52146091786225
"14",0.862769989296794,0.197541570407099,0.0863126371987164,-5.74460446917646
"15",0.507823924766853,0.0351317943106135,0.433798726648092,-4.29768548624013
"","V1","V2","V3","V4"
"1",0.544865425443277,0.0795071593437292,0.392382113961503,-4.8665349501225
"2",0.860224607400596,0.191395553746752,0.0765413471963257,-4.77952357313287
"3",0.240439547225833,0.0143670361694913,0.978578384499997,-7.01311579463996
"4",0.60692924936302,0.102711900408224,0.27971817413345,-3.86800612001137
"5",0.532445158110932,0.0828413225769335,0.373175425454974,-4.3740584650247
"6",0.332748365355656,0.0799991416391281,0.755299912998453,-6.57128304236092
"7",0.746515606064349,0.187274356859648,0.115781306056306,-5.7138328105097
"8",0.25146003626287,0.0493983571341271,0.947881095344201,-6.4377516497364
"9",0.571247553220019,0.00719766837243235,0.517735542263836,-6.4377516497364
"10",0.567820478230715,0.111514921806671,0.24034246779047,-5.29831736654804
"11",0.633855963824317,0.152300103274715,0.25097755715251,-5.33913936106829
"12",0.30132686952129,0.0360894028659527,0.744744720868766,-6.72543372218818
"13",0.677558577619493,0.0885616749781973,0.276007345411927,-5.25909665339475
"14",0.489073660224676,0.0622832279430241,0.403715653112158,-5.47267075369281
"15",0.718101121019572,0.110691579620046,0.192173742223531,-5.62682143352007
"","V1","V2","V3","V4"
"1",0.538685340434313,0.0301449641113451,0.467315838672221,-4.18645985112991
"2",0.573667392600328,0.158127127903708,0.173020352609456,-5.62682143352007
"3",0.394703269237652,0.215078636970682,0.0492610093206167,-6.21460809842219
"4",0.304769445909187,0.241047952855068,0.070495592430234,-7.13089883029635
"5",0.450187654001638,0.0231496401802816,0.568278278922662,-5.62682143352007
"6",0.483117125462741,0.0518567287568157,0.457890996942297,-4.58536755869191
"7",0.72278256691061,0.109482018139987,0.224256410961971,-4.56594947283481
"8",0.320656780386344,0.158953378438455,0.542577006621286,-6.07484615604703
"9",0.590872997650877,0.00735576338315457,0.418694444699213,-4.99083266680008
"10",0.366777656134218,0.147433129980945,0.411739119095728,-6.03228654162824
"11",0.327631777850911,0.203936106384983,0.255173918092623,-5.29831736654804
"12",0.477882684441283,0.108621299359507,0.354078937089071,-5.87813586180098
"13",0.633125824155286,0.165144044746772,0.156868423335254,-5.20300718674371
"14",0.407598953461275,0.0149241517364996,0.6495600938797,-6.03228654162824
"15",0.55789350438863,0.0747826451245252,0.402916300110519,-4.93367425296013
"","V1","V2","V3","V4"
"1",0.472378019243479,0.0312623537176229,0.475453946506605,-3.9954046143672
"2",0.830816044704989,0.128113156630566,0.127884132089093,-7.13089883029635
"3",0.2301313620992,0.189921562219623,0.814980834722519,-6.03228654162824
"4",0.600677565205842,0.117623909805291,0.266313255764544,-4.64599218050835
"5",0.584350703749806,0.127851783580662,0.248813047306612,-4.49184150068109
"6",0.552111599361524,0.0225035237462731,0.473463884554803,-5.62682143352007
"7",0.57961161294952,0.0879498508368656,0.319461651379243,-4.01738352108597
"8",0.679142758948728,0.116962950794911,0.260112341260538,-4.64599218050835
"9",0.4332603844814,0.178472533435112,0.265314775984734,-6.72543372218818
"10",0.427322671981528,0.0568319600845211,0.497942204587162,-5.47267075369281
