"","V1","V2","V3"
"1",0.02,0,6
"2",0.04,0,4.3
"3",0.06,0,4.3
"4",0.08,0,4.7
"5",0.1,0,5.1
"6",0.12,0,4.4
"7",0.14,0,6.5
"8",0.16,0,3.7
"9",0.18,0,4.7
"10",0.2,0,6.4
"11",0.22,0,5.7
"12",0.24,0,4.7
"13",0.26,0,4.4
"14",0.28,0,4.1
"15",0.3,0,5
"16",0.32,0,5.2
"17",0.34,0,5.9
"18",0.36,0,4.7
"19",0.38,0,4.8
"20",0.4,0,4.6
"21",0.42,0,5
"22",0.44,0,4.9
"23",0.46,0,6.3
"24",0.48,0,5.4
"25",0.5,0,6.4
"26",0.52,0,5.5
"27",0.54,0,6.4
"28",0.56,0,5.5
"29",0.58,0,6
"30",0.6,0,7.2
"31",0.62,0,9.1
"32",0.64,0,6.5
"33",0.66,0,9
"34",0.68,0,9.3
"35",0.7,0,10.9
"36",0.72,0,11.3
"37",0.74,0,11.9
"38",0.76,0,14.6
"39",0.78,0,15.8
"40",0.8,0,19.9
"41",0.82,0,23.6
"42",0.84,0,27.8
"43",0.86,0,32.2
"44",0.88,0,41.2
"45",0.9,0,46
"46",0.92,0,52.4
"47",0.94,0,65.4
"48",0.96,0,75.3
"49",0.98,0,78.8
"","V1","V2","V3"
"1",0.02,0.02,5.9
"2",0.04,0.02,5
"3",0.06,0.02,4.2
"4",0.08,0.02,5.4
"5",0.1,0.02,4.9
"6",0.12,0.02,5.1
"7",0.14,0.02,5.6
"8",0.16,0.02,5
"9",0.18,0.02,4.9
"10",0.2,0.02,4.6
"11",0.22,0.02,4.9
"12",0.24,0.02,5.1
"13",0.26,0.02,4.7
"14",0.28,0.02,5.6
"15",0.3,0.02,5.2
"16",0.32,0.02,4.8
"17",0.34,0.02,6
"18",0.36,0.02,3.9
"19",0.38,0.02,5
"20",0.4,0.02,5.5
"21",0.42,0.02,4.8
"22",0.44,0.02,6.2
"23",0.46,0.02,4.6
"24",0.48,0.02,4.9
"25",0.5,0.02,6.4
"26",0.52,0.02,5.6
"27",0.54,0.02,5.5
"28",0.56,0.02,8.1
"29",0.58,0.02,7
"30",0.6,0.02,8.3
"31",0.62,0.02,6.8
"32",0.64,0.02,7.9
"33",0.66,0.02,10.4
"34",0.68,0.02,9
"35",0.7,0.02,12.8
"36",0.72,0.02,13
"37",0.74,0.02,12.3
"38",0.76,0.02,13.6
"39",0.78,0.02,15
"40",0.8,0.02,18
"41",0.82,0.02,23.2
"42",0.84,0.02,30.4
"43",0.86,0.02,33.3
"44",0.88,0.02,40.8
"45",0.9,0.02,45
"46",0.92,0.02,54.3
"47",0.94,0.02,64.2
"48",0.96,0.02,75
"49",0.98,0.02,77.4
"","V1","V2","V3"
"1",0.02,0.04,4.9
"2",0.04,0.04,5.6
"3",0.06,0.04,5.1
"4",0.08,0.04,4.9
"5",0.1,0.04,7.4
"6",0.12,0.04,5.7
"7",0.14,0.04,6.7
"8",0.16,0.04,6.3
"9",0.18,0.04,4.8
"10",0.2,0.04,6.7
"11",0.22,0.04,4.9
"12",0.24,0.04,5.6
"13",0.26,0.04,6.4
"14",0.28,0.04,5.8
"15",0.3,0.04,4.4
"16",0.32,0.04,5.4
"17",0.34,0.04,5
"18",0.36,0.04,4.6
"19",0.38,0.04,5.1
"20",0.4,0.04,5.2
"21",0.42,0.04,6.2
"22",0.44,0.04,4.7
"23",0.46,0.04,6
"24",0.48,0.04,4.9
"25",0.5,0.04,6.3
"26",0.52,0.04,5.3
"27",0.54,0.04,6.4
"28",0.56,0.04,6.8
"29",0.58,0.04,6.2
"30",0.6,0.04,7.4
"31",0.62,0.04,9.2
"32",0.64,0.04,8.1
"33",0.66,0.04,9.6
"34",0.68,0.04,10.5
"35",0.7,0.04,11.1
"36",0.72,0.04,13
"37",0.74,0.04,14.9
"38",0.76,0.04,14.1
"39",0.78,0.04,19.3
"40",0.8,0.04,21.3
"41",0.82,0.04,23.2
"42",0.84,0.04,27.9
"43",0.86,0.04,34.3
"44",0.88,0.04,40
"45",0.9,0.04,45.7
"46",0.92,0.04,55.1
"47",0.94,0.04,65.5
"48",0.96,0.04,74
"49",0.98,0.04,79.2
"","V1","V2","V3"
"1",0.02,0.06,5.2
"2",0.04,0.06,5.8
"3",0.06,0.06,4.8
"4",0.08,0.06,4.5
"5",0.1,0.06,5.2
"6",0.12,0.06,3.8
"7",0.14,0.06,5.3
"8",0.16,0.06,5.5
"9",0.18,0.06,3.7
"10",0.2,0.06,4.5
"11",0.22,0.06,5.3
"12",0.24,0.06,4.3
"13",0.26,0.06,6.2
"14",0.28,0.06,5.4
"15",0.3,0.06,5.3
"16",0.32,0.06,5.2
"17",0.34,0.06,5.5
"18",0.36,0.06,4.8
"19",0.38,0.06,5.8
"20",0.4,0.06,5.8
"21",0.42,0.06,5.2
"22",0.44,0.06,4.8
"23",0.46,0.06,5.7
"24",0.48,0.06,5.4
"25",0.5,0.06,5.8
"26",0.52,0.06,7
"27",0.54,0.06,7.3
"28",0.56,0.06,6.6
"29",0.58,0.06,7.4
"30",0.6,0.06,8.2
"31",0.62,0.06,9.3
"32",0.64,0.06,8.5
"33",0.66,0.06,8.3
"34",0.68,0.06,10.5
"35",0.7,0.06,9.7
"36",0.72,0.06,12
