"","V1","V2","V3","V4","V5"
"1",0,0.02,6.1,0.01785125,0.017845
"2",0,0.04,5.4,0.03594375,0.036105
"3",0,0.06,6.1,0.05393875,0.05408
"4",0,0.08,4.9,0.0721825,0.071355
"5",0,0.1,5.9,0.09002,0.08905
"6",0,0.12,5.3,0.10788,0.10695
"7",0,0.14,5.2,0.12628375,0.12303
"8",0,0.16,5.7,0.14378875,0.1411
"9",0,0.18,5.6,0.16189,0.15825
"10",0,0.2,4.8,0.17972,0.175335
"11",0,0.22,5,0.198245,0.19275
"12",0,0.24,4.8,0.21637875,0.210075
"13",0,0.26,5.7,0.23441875,0.22604
"14",0,0.28,6.3,0.252015,0.24089
"15",0,0.3,8.3,0.2700525,0.256905
"16",0,0.32,6.9,0.2886075,0.274755
"17",0,0.34,5.7,0.3062425,0.291865
"18",0,0.36,5.8,0.32333625,0.307565
"19",0,0.38,8.5,0.3415425,0.3209
"20",0,0.4,8.2,0.3591225,0.339395
"21",0,0.42,10,0.37753375,0.351325
"22",0,0.44,10.9,0.39611625,0.367535
"23",0,0.46,15.4,0.41405625,0.379275
"24",0,0.48,14.8,0.43101375,0.39706
"25",0,0.5,18.4,0.44984,0.40939
"26",0,0.52,23,0.468225,0.421575
"27",0,0.54,24.9,0.4850675,0.435795
"28",0,0.56,30.5,0.504165,0.44683
"29",0,0.58,37,0.52215,0.457505
"30",0,0.6,43,0.5399125,0.469695
"31",0,0.62,49.6,0.5569925,0.47966
"32",0,0.64,59.1,0.57622875,0.489475
"33",0,0.66,67.7,0.5937925,0.49883
"34",0,0.68,75.9,0.61148625,0.506375
"35",0,0.7,84.7,0.62986875,0.51164
"36",0,0.72,94.1,0.6485975,0.51476
"37",0,0.74,96.8,0.6668275,0.518235
"38",0,0.76,98.4,0.6842425,0.519135
"39",0,0.78,99.6,0.70101,0.518875
"40",0,0.8,99.9,0.72036625,0.515265
"41",0,0.82,100,0.738645,0.50666
"42",0,0.84,100,0.756425,0.49515
"43",0,0.86,100,0.774035,0.480785
"44",0,0.88,100,0.7925125,0.456305
"45",0,0.9,100,0.81000375,0.426715
"46",0,0.92,100,0.82778375,0.38335
"47",0,0.94,100,0.8463525,0.330855
"48",0,0.96,100,0.8632375,0.25405
"49",0,0.98,100,0.88153,0.149805
"","V1","V2","V3","V4","V5"
"1",0.02,0.02,4.9,0.017975,0.01785
"2",0.02,0.04,4.6,0.03621375,0.03581
"3",0.02,0.06,5.9,0.05360875,0.053195
"4",0.02,0.08,4.4,0.07234625,0.07068
"5",0.02,0.1,4.7,0.08964625,0.08868
"6",0.02,0.12,4.8,0.107825,0.106515
"7",0.02,0.14,6,0.1259325,0.124485
"8",0.02,0.16,5.6,0.1439375,0.142065
"9",0.02,0.18,4.3,0.1612625,0.158025
"10",0.02,0.2,5.1,0.17946,0.176
"11",0.02,0.22,5.6,0.19855125,0.19157
"12",0.02,0.24,4.3,0.21675125,0.209515
"13",0.02,0.26,4.9,0.23379875,0.22565
"14",0.02,0.28,5.7,0.25260875,0.24246
"15",0.02,0.3,6.9,0.2701425,0.25876
"16",0.02,0.32,6.8,0.287115,0.277495
"17",0.02,0.34,5.1,0.305755,0.293165
"18",0.02,0.36,6.2,0.324425,0.30559
"19",0.02,0.38,8.5,0.34126375,0.321275
"20",0.02,0.4,8.6,0.36024625,0.338365
"21",0.02,0.42,10.6,0.3784,0.35283
"22",0.02,0.44,10.5,0.39565,0.3657
"23",0.02,0.46,14.2,0.4140975,0.381625
"24",0.02,0.48,16.4,0.4314275,0.393245
"25",0.02,0.5,17.7,0.44939,0.40983
"26",0.02,0.52,19.5,0.46830125,0.42289
"27",0.02,0.54,24.8,0.485665,0.435605
"28",0.02,0.56,28.9,0.504255,0.449185
"29",0.02,0.58,37.7,0.5223575,0.457735
"30",0.02,0.6,44.5,0.54068,0.4698
"31",0.02,0.62,54.6,0.5581075,0.47727
"32",0.02,0.64,60.5,0.57674875,0.489805
"33",0.02,0.66,68.4,0.59388625,0.498425
"34",0.02,0.68,78.9,0.61228125,0.50525
"35",0.02,0.7,87.7,0.62984375,0.51048
"36",0.02,0.72,93.6,0.64801875,0.515345
"37",0.02,0.74,97.2,0.6661275,0.51908
"38",0.02,0.76,98.9,0.6830325,0.51931
"39",0.02,0.78,99.5,0.702075,0.51863
"40",0.02,0.8,100,0.719725,0.51346
"41",0.02,0.82,100,0.73843125,0.50575
"42",0.02,0.84,100,0.75626375,0.495795
"43",0.02,0.86,100,0.77365125,0.47909
"44",0.02,0.88,100,0.79174125,0.4576
