"","V1","V2","V3"
"1",0,0.02,6.69999999999999
"2",0,0.04,5.4
"3",0,0.06,5.1
"4",0,0.08,6.39999999999999
"5",0,0.1,5.5
"6",0,0.12,5.6
"7",0,0.14,6.09999999999999
"8",0,0.16,5.7
"9",0,0.18,5.5
"10",0,0.2,6.09999999999999
"11",0,0.22,4.6
"12",0,0.24,4.4
"13",0,0.26,5
"14",0,0.28,5.5
"15",0,0.3,5
"16",0,0.32,6.09999999999999
"17",0,0.34,4.3
"18",0,0.36,6.09999999999999
"19",0,0.38,4.8
"20",0,0.4,5.9
"21",0,0.42,4.9
"22",0,0.44,5.5
"23",0,0.46,4.5
"24",0,0.48,5.6
"25",0,0.5,4.5
"26",0,0.52,4
"27",0,0.54,4.7
"28",0,0.56,5.5
"29",0,0.58,5.1
"30",0,0.6,6.29999999999999
"31",0,0.62,6.19999999999999
"32",0,0.64,5.3
"33",0,0.66,6.99999999999999
"34",0,0.68,5.9
"35",0,0.7,7.19999999999999
"36",0,0.72,8.99999999999998
"37",0,0.74,8.69999999999999
"38",0,0.76,9.59999999999998
"39",0,0.78,10.9
"40",0,0.8,11.8
"41",0,0.82,14.9
"42",0,0.84,18.7
"43",0,0.86,23.6000000000001
"44",0,0.88,32.1000000000002
"45",0,0.9,37.5000000000003
"46",0,0.92,48.1000000000004
"47",0,0.94,61.0000000000006
"48",0,0.96,69.9000000000003
"49",0,0.98,79.1999999999998
"","V1","V2","V3"
"1",0.02,0.02,5.1
"2",0.02,0.04,3.9
"3",0.02,0.06,5.2
"4",0.02,0.08,5.2
"5",0.02,0.1,5.6
"6",0.02,0.12,5.5
"7",0.02,0.14,6.29999999999999
"8",0.02,0.16,4.3
"9",0.02,0.18,5.2
"10",0.02,0.2,5
"11",0.02,0.22,4.4
"12",0.02,0.24,5.4
"13",0.02,0.26,4.5
"14",0.02,0.28,4.4
"15",0.02,0.3,5.1
"16",0.02,0.32,4.8
"17",0.02,0.34,5.8
"18",0.02,0.36,5.5
"19",0.02,0.38,4.9
"20",0.02,0.4,4.5
"21",0.02,0.42,4.9
"22",0.02,0.44,5.5
"23",0.02,0.46,6.59999999999999
"24",0.02,0.48,5.5
"25",0.02,0.5,5.1
"26",0.02,0.52,5.5
"27",0.02,0.54,4.9
"28",0.02,0.56,4.9
"29",0.02,0.58,6.49999999999999
"30",0.02,0.6,5.3
"31",0.02,0.62,4.6
"32",0.02,0.64,6.39999999999999
"33",0.02,0.66,6.19999999999999
"34",0.02,0.68,6.09999999999999
"35",0.02,0.7,7.69999999999999
"36",0.02,0.72,8.89999999999998
"37",0.02,0.74,8.99999999999998
"38",0.02,0.76,8.39999999999999
"39",0.02,0.78,11.8
"40",0.02,0.8,15.5
"41",0.02,0.82,16.1
"42",0.02,0.84,20.1
"43",0.02,0.86,25.0000000000001
"44",0.02,0.88,31.3000000000002
"45",0.02,0.9,37.0000000000003
"46",0.02,0.92,48.5000000000004
"47",0.02,0.94,61.5000000000006
"48",0.02,0.96,69.9000000000003
"49",0.02,0.98,79.0999999999998
"","V1","V2","V3"
"1",0.04,0.02,4.1
"2",0.04,0.04,3.8
"3",0.04,0.06,6.29999999999999
"4",0.04,0.08,4.6
"5",0.04,0.1,4.8
"6",0.04,0.12,5.99999999999999
"7",0.04,0.14,4.8
"8",0.04,0.16,5.1
"9",0.04,0.18,5
"10",0.04,0.2,5
"11",0.04,0.22,5.99999999999999
"12",0.04,0.24,5
"13",0.04,0.26,4.2
"14",0.04,0.28,4.5
"15",0.04,0.3,4.3
"16",0.04,0.32,4
"17",0.04,0.34,4.5
"18",0.04,0.36,5.2
"19",0.04,0.38,6.49999999999999
"20",0.04,0.4,4.8
"21",0.04,0.42,3.5
"22",0.04,0.44,5.6
"23",0.04,0.46,5.2
"24",0.04,0.48,5.6
"25",0.04,0.5,5.6
"26",0.04,0.52,4.6
"27",0.04,0.54,6.49999999999999
"28",0.04,0.56,6.79999999999999
"29",0.04,0.58,3.8
"30",0.04,0.6,5.5
"31",0.04,0.62,5.7
"32",0.04,0.64,6.69999999999999
"33",0.04,0.66,7.79999999999999
"34",0.04,0.68,6.09999999999999
"35",0.04,0.7,6.79999999999999
"36",0.04,0.72,7.59999999999999
"37",0.04,0.74,8.49999999999999
"38",0.04,0.76,9.99999999999998
"39",0.04,0.78,10.7
"40",0.04,0.8,14.4
"41",0.04,0.82,16.5
"42",0.04,0.84,18.5
"43",0.04,0.86,23.4000000000001
"44",0.04,0.88,29.2000000000001
"45",0.04,0.9,39.0000000000003
"46",0.04,0.92,50.1000000000004
"47",0.04,0.94,60.2000000000006
"48",0.04,0.96,70.2000000000003
"49",0.04,0.98,82.1999999999996
"","V1","V2","V3"
"1",0.06,0.02,5.2
"2",0.06,0.04,4.2
"3",0.06,0.06,5.8
"4",0.06,0.08,4.7
"5",0.06,0.1,5.3
"6",0.06,0.12,4.3
"7",0.06,0.14,4.7
"8",0.06,0.16,4.2
"9",0.06,0.18,4.6
"10",0.06,0.2,4.1
"11",0.06,0.22,6.29999999999999
"12",0.06,0.24,4.9
"13",0.06,0.26,4.9
"14",0.06,0.28,4.5
"15",0.06,0.3,5.6
"16",0.06,0.32,5
"17",0.06,0.34,4.8
"18",0.06,0.36,4.3
"19",0.06,0.38,5.2
"20",0.06,0.4,5.5
"21",0.06,0.42,6.19999999999999
"22",0.06,0.44,4.7
"23",0.06,0.46,5.4
"24",0.06,0.48,6.69999999999999
"25",0.06,0.5,4.1
"26",0.06,0.52,5.4
"27",0.06,0.54,4.2
"28",0.06,0.56,5.99999999999999
"29",0.06,0.58,5
"30",0.06,0.6,6.29999999999999
"31",0.06,0.62,5.9
"32",0.06,0.64,5.4
"33",0.06,0.66,5.3
"34",0.06,0.68,6.19999999999999
"35",0.06,0.7,8.89999999999998
"36",0.06,0.72,8.09999999999999
"37",0.06,0.74,8.89999999999998
"38",0.06,0.76,9.99999999999998
"39",0.06,0.78,10.3
"40",0.06,0.8,14.8
"41",0.06,0.82,14.5
"42",0.06,0.84,19.2
"43",0.06,0.86,21.7
"44",0.06,0.88,28.6000000000001
"45",0.06,0.9,35.5000000000002
"46",0.06,0.92,48.8000000000004
"47",0.06,0.94,59.0000000000006
"48",0.06,0.96,68.4000000000004
"49",0.06,0.98,76.9999999999999
"","V1","V2","V3"
"1",0.08,0.02,4.5
"2",0.08,0.04,4.3
"3",0.08,0.06,5.1
"4",0.08,0.08,5
"5",0.08,0.1,5.99999999999999
"6",0.08,0.12,4.9
"7",0.08,0.14,4.5
"8",0.08,0.16,4
"9",0.08,0.18,4.8
"10",0.08,0.2,5.5
"11",0.08,0.22,5.4
"12",0.08,0.24,5.4
"13",0.08,0.26,4.7
"14",0.08,0.28,4.9
"15",0.08,0.3,3.4
"16",0.08,0.32,5.7
"17",0.08,0.34,5.9
"18",0.08,0.36,4.1
"19",0.08,0.38,5.1
"20",0.08,0.4,4.5
"21",0.08,0.42,5
"22",0.08,0.44,6.59999999999999
"23",0.08,0.46,5.1
"24",0.08,0.48,5.6
"25",0.08,0.5,5.6
"26",0.08,0.52,5
"27",0.08,0.54,6.59999999999999
"28",0.08,0.56,7.29999999999999
"29",0.08,0.58,4.9
"30",0.08,0.6,6.19999999999999
"31",0.08,0.62,5.1
"32",0.08,0.64,5.6
"33",0.08,0.66,6.59999999999999
"34",0.08,0.68,6.39999999999999
"35",0.08,0.7,7.29999999999999
"36",0.08,0.72,7.39999999999999
"37",0.08,0.74,8.39999999999999
"38",0.08,0.76,9.89999999999998
"39",0.08,0.78,11.2
"40",0.08,0.8,14.5
"41",0.08,0.82,14.4
"42",0.08,0.84,19
"43",0.08,0.86,22.3
"44",0.08,0.88,29.2000000000001
"45",0.08,0.9,38.3000000000003
"46",0.08,0.92,45.8000000000004
"47",0.08,0.94,61.8000000000006
"48",0.08,0.96,69.0000000000004
"49",0.08,0.98,78.6999999999998
"","V1","V2","V3"
"1",0.1,0.02,6.19999999999999
"2",0.1,0.04,3.8
"3",0.1,0.06,7.29999999999999
"4",0.1,0.08,4.2
"5",0.1,0.1,6.09999999999999
"6",0.1,0.12,5.1
"7",0.1,0.14,4.9
"8",0.1,0.16,5.6
"9",0.1,0.18,4.1
"10",0.1,0.2,6.99999999999999
"11",0.1,0.22,5.1
"12",0.1,0.24,4.4
"13",0.1,0.26,5
"14",0.1,0.28,4.1
"15",0.1,0.3,4.4
"16",0.1,0.32,5.4
"17",0.1,0.34,4.1
"18",0.1,0.36,4.4
"19",0.1,0.38,4.3
"20",0.1,0.4,4.7
"21",0.1,0.42,4.9
"22",0.1,0.44,4.5
"23",0.1,0.46,5.4
"24",0.1,0.48,4.9
"25",0.1,0.5,6.89999999999999
"26",0.1,0.52,6.89999999999999
"27",0.1,0.54,6.59999999999999
"28",0.1,0.56,5.8
"29",0.1,0.58,5.4
"30",0.1,0.6,5.1
"31",0.1,0.62,6.09999999999999
"32",0.1,0.64,6.99999999999999
"33",0.1,0.66,6.59999999999999
"34",0.1,0.68,6.59999999999999
"35",0.1,0.7,7.09999999999999
"36",0.1,0.72,6.89999999999999
"37",0.1,0.74,8.59999999999999
"38",0.1,0.76,10.2
"39",0.1,0.78,11.3
"40",0.1,0.8,13.9
"41",0.1,0.82,13.9
"42",0.1,0.84,19.2
"43",0.1,0.86,21.6
"44",0.1,0.88,31.6000000000002
"45",0.1,0.9,36.4000000000002
"46",0.1,0.92,49.5000000000004
"47",0.1,0.94,59.6000000000006
"48",0.1,0.96,69.5000000000003
"49",0.1,0.98,76.6999999999999
"","V1","V2","V3"
"1",0.12,0.02,5.6
"2",0.12,0.04,3.3
"3",0.12,0.06,6.49999999999999
"4",0.12,0.08,5.4
"5",0.12,0.1,5.99999999999999
"6",0.12,0.12,4.6
"7",0.12,0.14,5
"8",0.12,0.16,4.9
"9",0.12,0.18,4.3
"10",0.12,0.2,5.9
"11",0.12,0.22,5.4
"12",0.12,0.24,4.8
"13",0.12,0.26,4.2
"14",0.12,0.28,4.8
"15",0.12,0.3,5.1
"16",0.12,0.32,5.2
"17",0.12,0.34,5.5
"18",0.12,0.36,5.1
"19",0.12,0.38,5.3
"20",0.12,0.4,4.2
"21",0.12,0.42,4.7
"22",0.12,0.44,5.4
"23",0.12,0.46,5.6
"24",0.12,0.48,5.4
"25",0.12,0.5,4.9
"26",0.12,0.52,5
"27",0.12,0.54,4.9
"28",0.12,0.56,6.29999999999999
"29",0.12,0.58,6.09999999999999
"30",0.12,0.6,5.5
"31",0.12,0.62,5.3
"32",0.12,0.64,5.99999999999999
"33",0.12,0.66,6.49999999999999
"34",0.12,0.68,6.59999999999999
"35",0.12,0.7,6.59999999999999
"36",0.12,0.72,8.09999999999999
"37",0.12,0.74,9.19999999999998
"38",0.12,0.76,8.99999999999998
"39",0.12,0.78,11
"40",0.12,0.8,13.3
"41",0.12,0.82,15.1
"42",0.12,0.84,20.4
"43",0.12,0.86,22
"44",0.12,0.88,33.9000000000002
"45",0.12,0.9,40.3000000000003
"46",0.12,0.92,49.2000000000004
"47",0.12,0.94,58.3000000000006
"48",0.12,0.96,72.1000000000002
"49",0.12,0.98,77.5999999999999
"","V1","V2","V3"
"1",0.14,0.02,5.1
"2",0.14,0.04,5.6
"3",0.14,0.06,5.2
"4",0.14,0.08,5
"5",0.14,0.1,5.9
"6",0.14,0.12,4.3
"7",0.14,0.14,4.5
"8",0.14,0.16,4.6
"9",0.14,0.18,5.6
"10",0.14,0.2,5.1
"11",0.14,0.22,6.69999999999999
"12",0.14,0.24,5.4
"13",0.14,0.26,5.3
"14",0.14,0.28,5.9
"15",0.14,0.3,5.6
"16",0.14,0.32,4.9
"17",0.14,0.34,5
"18",0.14,0.36,5.3
"19",0.14,0.38,5.3
"20",0.14,0.4,5.3
"21",0.14,0.42,5
"22",0.14,0.44,5
"23",0.14,0.46,6.09999999999999
"24",0.14,0.48,4.5
"25",0.14,0.5,5.2
"26",0.14,0.52,5.1
"27",0.14,0.54,5
"28",0.14,0.56,6.89999999999999
"29",0.14,0.58,7.59999999999999
"30",0.14,0.6,5.4
"31",0.14,0.62,5
"32",0.14,0.64,5.8
"33",0.14,0.66,6.29999999999999
"34",0.14,0.68,6.79999999999999
"35",0.14,0.7,7.09999999999999
"36",0.14,0.72,7.79999999999999
"37",0.14,0.74,7.59999999999999
"38",0.14,0.76,8.49999999999999
"39",0.14,0.78,10.5
"40",0.14,0.8,10.8
"41",0.14,0.82,13.2
"42",0.14,0.84,18.4
"43",0.14,0.86,23.4000000000001
"44",0.14,0.88,29.6000000000002
"45",0.14,0.9,40.3000000000003
"46",0.14,0.92,48.6000000000004
"47",0.14,0.94,58.2000000000006
"48",0.14,0.96,71.1000000000002
"49",0.14,0.98,78.9999999999998
"","V1","V2","V3"
"1",0.16,0.02,5.8
"2",0.16,0.04,5
"3",0.16,0.06,4.5
"4",0.16,0.08,5
"5",0.16,0.1,5.9
"6",0.16,0.12,4.8
"7",0.16,0.14,6.69999999999999
"8",0.16,0.16,4.7
"9",0.16,0.18,5.1
"10",0.16,0.2,5.3
"11",0.16,0.22,4.8
"12",0.16,0.24,4.6
"13",0.16,0.26,5.7
"14",0.16,0.28,4.1
"15",0.16,0.3,4.3
"16",0.16,0.32,5.3
"17",0.16,0.34,4.3
"18",0.16,0.36,5.4
"19",0.16,0.38,4.9
"20",0.16,0.4,5.8
"21",0.16,0.42,5.4
"22",0.16,0.44,4.7
"23",0.16,0.46,5.2
"24",0.16,0.48,6.19999999999999
"25",0.16,0.5,6.49999999999999
"26",0.16,0.52,5.99999999999999
"27",0.16,0.54,6.09999999999999
"28",0.16,0.56,6.19999999999999
"29",0.16,0.58,6.79999999999999
"30",0.16,0.6,6.29999999999999
"31",0.16,0.62,6.39999999999999
"32",0.16,0.64,7.39999999999999
"33",0.16,0.66,8.29999999999999
"34",0.16,0.68,6.59999999999999
"35",0.16,0.7,8.39999999999999
"36",0.16,0.72,8.69999999999999
"37",0.16,0.74,8.59999999999999
"38",0.16,0.76,9.39999999999998
"39",0.16,0.78,10.9
"40",0.16,0.8,11.9
"41",0.16,0.82,15.4
"42",0.16,0.84,20.8
"43",0.16,0.86,23.5000000000001
"44",0.16,0.88,34.9000000000002
"45",0.16,0.9,37.9000000000003
"46",0.16,0.92,48.8000000000004
"47",0.16,0.94,61.6000000000006
"48",0.16,0.96,72.2000000000002
"49",0.16,0.98,79.5999999999998
"","V1","V2","V3"
"1",0.18,0.02,5.2
"2",0.18,0.04,4.5
"3",0.18,0.06,7.39999999999999
"4",0.18,0.08,5.2
"5",0.18,0.1,5.99999999999999
"6",0.18,0.12,4.9
"7",0.18,0.14,5.6
"8",0.18,0.16,6.19999999999999
"9",0.18,0.18,5.5
"10",0.18,0.2,5.2
"11",0.18,0.22,5.6
"12",0.18,0.24,4.9
"13",0.18,0.26,5.4
"14",0.18,0.28,4.4
"15",0.18,0.3,4.4
"16",0.18,0.32,5.99999999999999
"17",0.18,0.34,5.9
"18",0.18,0.36,6.19999999999999
"19",0.18,0.38,6.29999999999999
"20",0.18,0.4,5.8
"21",0.18,0.42,5.8
"22",0.18,0.44,4.2
"23",0.18,0.46,5.9
"24",0.18,0.48,6.19999999999999
"25",0.18,0.5,5.9
"26",0.18,0.52,5.9
"27",0.18,0.54,5.3
"28",0.18,0.56,5.9
"29",0.18,0.58,5.7
"30",0.18,0.6,6.19999999999999
"31",0.18,0.62,7.19999999999999
"32",0.18,0.64,7.39999999999999
"33",0.18,0.66,8.39999999999999
"34",0.18,0.68,8.19999999999999
"35",0.18,0.7,8.99999999999998
"36",0.18,0.72,9.49999999999998
"37",0.18,0.74,8.59999999999999
"38",0.18,0.76,10.4
"39",0.18,0.78,11.3
"40",0.18,0.8,14.3
"41",0.18,0.82,17.3
"42",0.18,0.84,19.9
"43",0.18,0.86,24.6000000000001
"44",0.18,0.88,31.6000000000002
"45",0.18,0.9,38.5000000000003
"46",0.18,0.92,48.2000000000004
"47",0.18,0.94,60.6000000000006
"48",0.18,0.96,72.5000000000002
"49",0.18,0.98,78.3999999999998
"","V1","V2","V3"
"1",0.2,0.02,5.3
"2",0.2,0.04,4.7
"3",0.2,0.06,4.7
"4",0.2,0.08,5
"5",0.2,0.1,5.1
"6",0.2,0.12,5.3
"7",0.2,0.14,5.99999999999999
"8",0.2,0.16,4.3
"9",0.2,0.18,4.4
"10",0.2,0.2,4.5
"11",0.2,0.22,5.6
"12",0.2,0.24,4.5
"13",0.2,0.26,5.1
"14",0.2,0.28,4.7
"15",0.2,0.3,4.9
"16",0.2,0.32,5.9
"17",0.2,0.34,5.4
"18",0.2,0.36,5.6
"19",0.2,0.38,5.5
"20",0.2,0.4,5.5
"21",0.2,0.42,6.29999999999999
"22",0.2,0.44,5.9
"23",0.2,0.46,6.59999999999999
"24",0.2,0.48,5.3
"25",0.2,0.5,5.9
"26",0.2,0.52,5.3
"27",0.2,0.54,5.9
"28",0.2,0.56,6.29999999999999
"29",0.2,0.58,7.39999999999999
"30",0.2,0.6,7.59999999999999
"31",0.2,0.62,6.09999999999999
"32",0.2,0.64,7.99999999999999
"33",0.2,0.66,7.69999999999999
"34",0.2,0.68,8.19999999999999
"35",0.2,0.7,7.89999999999999
"36",0.2,0.72,10.4
"37",0.2,0.74,9.69999999999998
"38",0.2,0.76,10.7
"39",0.2,0.78,13.1
"40",0.2,0.8,14.5
"41",0.2,0.82,16.4
"42",0.2,0.84,22
"43",0.2,0.86,25.8000000000001
"44",0.2,0.88,30.4000000000002
"45",0.2,0.9,37.0000000000003
"46",0.2,0.92,48.7000000000004
"47",0.2,0.94,62.2000000000006
"48",0.2,0.96,72.0000000000002
"49",0.2,0.98,76.6999999999999
"","V1","V2","V3"
"1",0.22,0.02,4.9
"2",0.22,0.04,4.5
"3",0.22,0.06,5.2
"4",0.22,0.08,5
"5",0.22,0.1,5
"6",0.22,0.12,5.5
"7",0.22,0.14,4.9
"8",0.22,0.16,6.19999999999999
"9",0.22,0.18,5.1
"10",0.22,0.2,5.1
"11",0.22,0.22,5.3
"12",0.22,0.24,4.7
"13",0.22,0.26,6.19999999999999
"14",0.22,0.28,4.3
"15",0.22,0.3,5.9
"16",0.22,0.32,5.6
"17",0.22,0.34,6.79999999999999
"18",0.22,0.36,6.79999999999999
"19",0.22,0.38,5.3
"20",0.22,0.4,6.19999999999999
"21",0.22,0.42,4.3
"22",0.22,0.44,5.4
"23",0.22,0.46,5.3
"24",0.22,0.48,4.8
"25",0.22,0.5,5.4
"26",0.22,0.52,5.4
"27",0.22,0.54,5.6
"28",0.22,0.56,4.8
"29",0.22,0.58,7.59999999999999
"30",0.22,0.6,7.79999999999999
"31",0.22,0.62,7.49999999999999
"32",0.22,0.64,8.09999999999999
"33",0.22,0.66,6.89999999999999
"34",0.22,0.68,8.99999999999998
"35",0.22,0.7,10.4
"36",0.22,0.72,10.6
"37",0.22,0.74,10.3
"38",0.22,0.76,12.4
"39",0.22,0.78,14.9
"40",0.22,0.8,15.9
"41",0.22,0.82,19.1
"42",0.22,0.84,20.2
"43",0.22,0.86,27.1000000000001
"44",0.22,0.88,30.8000000000002
"45",0.22,0.9,41.8000000000003
"46",0.22,0.92,50.3000000000004
"47",0.22,0.94,60.9000000000006
"48",0.22,0.96,71.2000000000002
"49",0.22,0.98,79.7999999999997
"","V1","V2","V3"
"1",0.24,0.02,5.3
"2",0.24,0.04,4.9
"3",0.24,0.06,6.29999999999999
"4",0.24,0.08,4.8
"5",0.24,0.1,5
"6",0.24,0.12,6.19999999999999
