"","V1","V2","V3","V4","V5","V6"
"1",0.02,0,5.4,0.020037,0.02005875,0.01995
"2",0.04,0,3.7,0.041157,0.0412325,0.040855
"3",0.06,0,3.9,0.055969,0.0560375,0.055695
"4",0.08,0,3.5,0.083539,0.083465,0.083835
"5",0.1,0,3.7,0.099628,0.09984625,0.098755
"6",0.12,0,2.6,0.125262,0.12549875,0.124315
"7",0.14,0,3.2,0.148773,0.1487475,0.148875
"8",0.16,0,2.7,0.152046,0.15217875,0.151515
"9",0.18,0,1.7,0.176844,0.1768225,0.17693
"10",0.2,0,2,0.183418,0.18371375,0.182235
"11",0.22,0,1.6,0.21361,0.21371875,0.213175
"12",0.24,0,1.5,0.251907,0.25173125,0.25261
"13",0.26,0,1.4,0.240335,0.239985,0.241735
"14",0.28,0,1.5,0.249277,0.2491075,0.249955
"15",0.3,0,1.1,0.269813,0.2697875,0.269915
"16",0.32,0,0.9,0.336299,0.33648875,0.33554
"17",0.34,0,0.8,0.344429,0.34424875,0.34515
"18",0.36,0,1,0.347615,0.34730375,0.34886
"19",0.38,0,1.4,0.388033,0.387705,0.389345
"20",0.4,0,1,0.407495,0.40764125,0.40691
"21",0.42,0,0.9,0.398275,0.398235,0.398435
"22",0.44,0,1,0.458694,0.45839125,0.459905
"23",0.46,0,0.4,0.436952,0.43665125,0.438155
"24",0.48,0,0.9,0.488473,0.488615,0.487905
"25",0.5,0,0.8,0.537821,0.53781875,0.53783
"26",0.52,0,0.6,0.49637,0.4965375,0.4957
"27",0.54,0,0.5,0.575687,0.57585625,0.57501
"28",0.56,0,0.7,0.553095,0.55301125,0.55343
"29",0.58,0,0.2,0.566562,0.56671,0.56597
"30",0.6,0,0.7,0.610953,0.61117875,0.61005
"31",0.62,0,0.2,0.581366,0.58118375,0.582095
"32",0.64,0,0.3,0.652262,0.6520275,0.6532
"33",0.66,0,0.2,0.658341,0.6586625,0.657055
"34",0.68,0,0.1,0.659479,0.65929875,0.6602
"35",0.7,0,0.3,0.697637,0.6975975,0.697795
"36",0.72,0,0.1,0.702676,0.7026175,0.70291
"37",0.74,0,0.2,0.729537,0.72920625,0.73086
"38",0.76,0,0.1,0.763008,0.76308875,0.762685
"39",0.78,0,0.1,0.78362,0.78370125,0.783295
"40",0.8,0,0,0.791592,0.7916575,0.79133
"41",0.82,0,0.2,0.822498,0.82215375,0.823875
"42",0.84,0,0,0.866965,0.86704625,0.86664
"43",0.86,0,0.2,0.849976,0.85010875,0.849445
"44",0.88,0,0.4,0.858105,0.85805125,0.85832
"45",0.9,0,0,0.899032,0.89889,0.8996
"46",0.92,0,0,0.891283,0.8913775,0.890905
"47",0.94,0,0.3,0.958496,0.9584975,0.95849
"48",0.96,0,0.2,0.961325,0.96127125,0.96154
"49",0.98,0,0,0.97382,0.9738325,0.97377
"","V1","V2","V3","V4","V5","V6"
"1",0.02,0.02,5.7,0.021457,0.021515,0.021225
"2",0.04,0.02,4.1,0.045878,0.0457825,0.04626
"3",0.06,0.02,4.6,0.047892,0.04784625,0.048075
"4",0.08,0.02,4.6,0.076132,0.0760125,0.07661
"5",0.1,0.02,3.9,0.095667,0.0956175,0.095865
"6",0.12,0.02,3.3,0.111504,0.1115425,0.11135
"7",0.14,0.02,2.7,0.136919,0.13693875,0.13684
"8",0.16,0.02,2.6,0.166021,0.1660675,0.165835
"9",0.18,0.02,3.1,0.193922,0.194025,0.19351
"10",0.2,0.02,2.3,0.189434,0.1892475,0.19018
"11",0.22,0.02,1.8,0.202781,0.202835,0.202565
"12",0.24,0.02,2.1,0.244318,0.24474375,0.242615
"13",0.26,0.02,1.4,0.275022,0.2750675,0.27484
"14",0.28,0.02,0.4,0.27997,0.27992375,0.280155
"15",0.3,0.02,1.3,0.297823,0.297855,0.297695
"16",0.32,0.02,0.7,0.322237,0.32196,0.323345
"17",0.34,0.02,0.7,0.344498,0.34449375,0.344515
"18",0.36,0.02,1.2,0.368012,0.36807375,0.367765
"19",0.38,0.02,1,0.365695,0.36563375,0.36594
"20",0.4,0.02,0.8,0.334246,0.33442125,0.333545
"21",0.42,0.02,0.9,0.398914,0.399135,0.39803
"22",0.44,0.02,0.5,0.431678,0.431545,0.43221
"23",0.46,0.02,0.6,0.472019,0.47197,0.472215
"24",0.48,0.02,0.4,0.482245,0.4824025,0.481615
"25",0.5,0.02,0.4,0.464917,0.4648025,0.465375
"26",0.52,0.02,0,0.516361,0.5164275,0.516095
"27",0.54,0.02,0.4,0.573592,0.57352,0.57388
"28",0.56,0.02,0.4,0.577904,0.5781325,0.57699
"29",0.58,0.02,1,0.595144,0.59517,0.59504
"30",0.6,0.02,0.1,0.565395,0.56534875,0.56558
"31",0.62,0.02,0.4,0.657195,0.657225,0.657075
"32",0.64,0.02,0.4,0.65292,0.6529275,0.65289
"33",0.66,0.02,0.2,0.661697,0.66147625,0.66258
"34",0.68,0.02,0.3,0.644459,0.644395,0.644715
"35",0.7,0.02,0.6,0.742623,0.7424825,0.743185
"36",0.72,0.02,0.1,0.706413,0.7064375,0.706315
"37",0.74,0.02,0.2,0.758163,0.758355,0.757395
"38",0.76,0.02,0,0.759793,0.75979875,0.75977
"39",0.78,0.02,0.2,0.81451,0.81439375,0.814975
"40",0.8,0.02,0.3,0.782368,0.782415,0.78218
"41",0.82,0.02,0.2,0.789082,0.78908375,0.789075
"42",0.84,0.02,0.2,0.811828,0.8117125,0.81229
