"","V1","V2","V3","V4","V5"
"1",0,0.02,5.9,0.02000625,0.020115
"2",0,0.04,3.7,0.039625,0.040385
"3",0,0.06,3.6,0.0598925,0.05979
"4",0,0.08,3.9,0.07945375,0.08005
"5",0,0.1,3.5,0.09906375,0.099705
"6",0,0.12,3.1,0.12028125,0.120825
"7",0,0.14,2.4,0.140105,0.139395
"8",0,0.16,2.3,0.1594125,0.16075
"9",0,0.18,2.5,0.1795,0.18024
"10",0,0.2,2.1,0.19920625,0.19708
"11",0,0.22,3.5,0.219185,0.220045
"12",0,0.24,2,0.240545,0.238885
"13",0,0.26,1.5,0.26050125,0.26015
"14",0,0.28,1.6,0.27969875,0.280295
"15",0,0.3,1.3,0.30014,0.29864
"16",0,0.32,0.7,0.319025,0.31749
"17",0,0.34,0.9,0.34064875,0.339735
"18",0,0.36,0.8,0.36210375,0.36183
"19",0,0.38,1.2,0.37962,0.37862
"20",0,0.4,0.8,0.39965875,0.398955
"21",0,0.42,0.4,0.4191025,0.41959
"22",0,0.44,1.1,0.44150875,0.44141
"23",0,0.46,0.9,0.46009625,0.46105
"24",0,0.48,1.1,0.4802125,0.479495
"25",0,0.5,0.8,0.49989875,0.50019
"26",0,0.52,0.3,0.52070125,0.519885
"27",0,0.54,0.8,0.5397,0.53949
"28",0,0.56,0.2,0.5596575,0.55926
"29",0,0.58,0.4,0.57949625,0.578875
"30",0,0.6,0.5,0.59923375,0.600285
"31",0,0.62,0.2,0.6202275,0.620265
"32",0,0.64,0,0.64023375,0.6406
"33",0,0.66,0.2,0.65995625,0.65959
"34",0,0.68,0.3,0.6810775,0.681855
"35",0,0.7,0,0.70041875,0.701435
"36",0,0.72,0,0.72095,0.720625
"37",0,0.74,0,0.738965,0.739125
"38",0,0.76,0.1,0.760725,0.7604
"39",0,0.78,0,0.780885,0.78046
"40",0,0.8,0.2,0.80060875,0.800695
"41",0,0.82,0.2,0.81981625,0.82055
"42",0,0.84,0.2,0.83973625,0.83979
"43",0,0.86,0.2,0.8607975,0.861525
"44",0,0.88,0,0.8802525,0.880785
"45",0,0.9,0,0.899295,0.89885
"46",0,0.92,0,0.91986875,0.920035
"47",0,0.94,0,0.940485,0.9403
"48",0,0.96,0,0.9605425,0.960595
"49",0,0.98,0.3,0.9791375,0.9794
"","V1","V2","V3","V4","V5"
"1",0.02,0.02,5.2,0.01967375,0.019805
"2",0.02,0.04,5.1,0.03958875,0.040305
"3",0.02,0.06,3.8,0.0596025,0.0596
"4",0.02,0.08,4.1,0.07984,0.078955
"5",0.02,0.1,4.4,0.1000625,0.098875
"6",0.02,0.12,3.8,0.11961875,0.11998
"7",0.02,0.14,2.4,0.14042125,0.14037
"8",0.02,0.16,2.6,0.1601125,0.16043
"9",0.02,0.18,3.1,0.18035125,0.17971
"10",0.02,0.2,1.7,0.20060625,0.201755
"11",0.02,0.22,2,0.219165,0.21959
"12",0.02,0.24,1.9,0.23992375,0.24023
"13",0.02,0.26,1.5,0.25953125,0.259885
"14",0.02,0.28,1.8,0.27973,0.281975
"15",0.02,0.3,1.7,0.29874625,0.298355
"16",0.02,0.32,0.8,0.32004125,0.32083
"17",0.02,0.34,1,0.33983625,0.339005
"18",0.02,0.36,1.9,0.35947375,0.35991
"19",0.02,0.38,0.9,0.38032,0.381295
"20",0.02,0.4,0.7,0.399595,0.40068
"21",0.02,0.42,0.7,0.420135,0.421245
"22",0.02,0.44,0.7,0.44093375,0.43966
"23",0.02,0.46,0.2,0.45875375,0.45791
"24",0.02,0.48,0.9,0.479695,0.478535
"25",0.02,0.5,0.1,0.500925,0.498815
"26",0.02,0.52,0.5,0.520625,0.518915
"27",0.02,0.54,0.7,0.53983875,0.54001
"28",0.02,0.56,0.4,0.56077375,0.56076
"29",0.02,0.58,0.5,0.5795,0.579425
"30",0.02,0.6,0.1,0.60144875,0.600805
"31",0.02,0.62,0.4,0.6193625,0.618855
"32",0.02,0.64,0.3,0.64155875,0.642315
"33",0.02,0.66,0.2,0.65942625,0.65875
"34",0.02,0.68,0.1,0.67963375,0.67929
"35",0.02,0.7,0.2,0.701135,0.70045
"36",0.02,0.72,0.1,0.72002625,0.720575
"37",0.02,0.74,0.1,0.74168375,0.741455
"38",0.02,0.76,0.1,0.75905125,0.759655
"39",0.02,0.78,0.2,0.77853,0.77815
"40",0.02,0.8,0.1,0.80107625,0.802125
"41",0.02,0.82,0,0.81904,0.818495
"42",0.02,0.84,0.3,0.8404375,0.84037
"43",0.02,0.86,0,0.8598275,0.860235
"44",0.02,0.88,0.3,0.88028125,0.880075
"45",0.02,0.9,0.1,0.899385,0.900025
"46",0.02,0.92,0.2,0.91934375,0.919405
"47",0.02,0.94,0,0.93973,0.9392
"48",0.02,0.96,0.2,0.95945125,0.95969
"49",0.02,0.98,0.4,0.98002,0.979835
"","V1","V2","V3","V4","V5"
"1",0.04,0.02,5.9,0.01981375,0.01995
"2",0.04,0.04,4.2,0.03948625,0.040005
"3",0.04,0.06,3.8,0.05960875,0.05894
"4",0.04,0.08,3.3,0.079745,0.07998
"5",0.04,0.1,3.2,0.09953125,0.099755
"6",0.04,0.12,3.4,0.11963125,0.11983
"7",0.04,0.14,3.3,0.13965375,0.14061
"8",0.04,0.16,2.3,0.15975875,0.15973
"9",0.04,0.18,2.2,0.17988125,0.179215
"10",0.04,0.2,2.5,0.1996675,0.198295
"11",0.04,0.22,2.9,0.22024,0.220705
"12",0.04,0.24,2.2,0.24053125,0.24102
"13",0.04,0.26,1.4,0.25877875,0.257795
"14",0.04,0.28,1.4,0.27896125,0.27986
"15",0.04,0.3,1.9,0.30003625,0.3004
"16",0.04,0.32,1.6,0.32040125,0.320085
"17",0.04,0.34,0.9,0.34016125,0.33966
"18",0.04,0.36,0.8,0.35980125,0.35817
"19",0.04,0.38,0.8,0.3803025,0.38012
"20",0.04,0.4,0.6,0.40023625,0.398945
"21",0.04,0.42,1.3,0.4196425,0.42102
"22",0.04,0.44,0.6,0.44115625,0.4406
"23",0.04,0.46,0.4,0.46032375,0.462095
"24",0.04,0.48,0.6,0.4797375,0.4805
"25",0.04,0.5,0.5,0.4994525,0.499915
"26",0.04,0.52,0.5,0.5212125,0.522695
"27",0.04,0.54,0.5,0.53997375,0.53916
"28",0.04,0.56,0.4,0.55978,0.559325
"29",0.04,0.58,0.5,0.5809625,0.57958
"30",0.04,0.6,0.2,0.600055,0.600865
"31",0.04,0.62,0.4,0.61987125,0.62053
"32",0.04,0.64,0.2,0.6385925,0.63964
"33",0.04,0.66,0.1,0.66043,0.661575
"34",0.04,0.68,0.1,0.6796925,0.679915
"35",0.04,0.7,0.3,0.699075,0.7004
"36",0.04,0.72,0.1,0.71940875,0.71922
"37",0.04,0.74,0,0.73951125,0.739355
"38",0.04,0.76,0.1,0.75997125,0.75934
"39",0.04,0.78,0.1,0.7807775,0.77995
"40",0.04,0.8,0.1,0.80036,0.80002
"41",0.04,0.82,0,0.819235,0.81839
"42",0.04,0.84,0.1,0.8395875,0.83898
"43",0.04,0.86,0.2,0.859645,0.85959
"44",0.04,0.88,0.1,0.8796775,0.87845
"45",0.04,0.9,0,0.90091375,0.90096
"46",0.04,0.92,0,0.919775,0.919795
"47",0.04,0.94,0,0.94047375,0.94076
"48",0.04,0.96,0.3,0.95998375,0.95969
"49",0.04,0.98,0,0.97998875,0.97994
"","V1","V2","V3","V4","V5"
"1",0.06,0.02,5.5,0.019885,0.02057
"2",0.06,0.04,4.7,0.04023625,0.040375
"3",0.06,0.06,3.9,0.0604625,0.06018
"4",0.06,0.08,2.8,0.08053875,0.080555
"5",0.06,0.1,3.5,0.1003275,0.099645
"6",0.06,0.12,4.3,0.119535,0.119855
"7",0.06,0.14,2.1,0.14029875,0.14176
"8",0.06,0.16,2.7,0.16026625,0.16024
"9",0.06,0.18,2.2,0.17969875,0.180035
"10",0.06,0.2,1.8,0.2001125,0.199755
"11",0.06,0.22,2.4,0.21859,0.219245
"12",0.06,0.24,2.1,0.23917875,0.23894
"13",0.06,0.26,1.5,0.25966625,0.25967
"14",0.06,0.28,2,0.2801,0.27895
"15",0.06,0.3,1.3,0.300645,0.29949
"16",0.06,0.32,1.3,0.31972125,0.31901
"17",0.06,0.34,0.6,0.3411825,0.34142
"18",0.06,0.36,2.2,0.36066375,0.35982
"19",0.06,0.38,1.2,0.38054375,0.38
"20",0.06,0.4,0.4,0.40037875,0.400775
"21",0.06,0.42,0.2,0.42016375,0.41877
"22",0.06,0.44,0.6,0.43996875,0.439455
"23",0.06,0.46,0.9,0.45963375,0.4601
"24",0.06,0.48,0.8,0.47862375,0.477945
"25",0.06,0.5,0.9,0.4995525,0.500855
"26",0.06,0.52,0.4,0.51819125,0.518755
"27",0.06,0.54,0.6,0.540125,0.54051
"28",0.06,0.56,0.2,0.55936375,0.55909
"29",0.06,0.58,0.6,0.5791,0.57986
"30",0.06,0.6,0.4,0.599645,0.600085
"31",0.06,0.62,0.2,0.61927375,0.6185
"32",0.06,0.64,0.1,0.64083125,0.642025
"33",0.06,0.66,0.2,0.66031375,0.66042
"34",0.06,0.68,0,0.680255,0.679075
