"","m","f_inf","cv","not_binom_dist","p_naive"
"1",0.1,0.25,1.3,100,0.23723625
"2",0.2,0.25,1.3,100,0.2345975
"3",0.3,0.25,1.3,100,0.23792625
"4",0.4,0.25,1.3,100,0.2421225
"5",0.5,0.25,1.3,100,0.25769375
"6",0.6,0.25,1.3,100,0.25983625
"7",0.7,0.25,1.3,99.9,0.2565775
"8",0.8,0.25,1.3,99.5,0.24485
"9",0.9,0.25,1.3,99.2,0.25177
"10",1,0.25,1.3,76.3,0.25681875
"11",1.1,0.25,1.3,88.9,0.24559
"12",1.2,0.25,1.3,73.3,0.2519575
"13",1.3,0.25,1.3,89.9,0.256025
"14",1.4,0.25,1.3,56.7,0.2470525
"15",1.5,0.25,1.3,67.7,0.25388125
"16",1.6,0.25,1.3,69.2,0.25591
"17",1.7,0.25,1.3,35.6,0.24555375
"18",1.8,0.25,1.3,34.2,0.26428625
"19",1.9,0.25,1.3,44.4,0.2429825
"20",2,0.25,1.3,47.3,0.25816125
"21",2.1,0.25,1.3,23,0.2427475
"22",2.2,0.25,1.3,36.1,0.2561125
"23",2.3,0.25,1.3,25.1,0.24848125
"24",2.4,0.25,1.3,13.2,0.26420625
"25",2.5,0.25,1.3,8.7,0.24
"26",2.6,0.25,1.3,20.8,0.23615125
"27",2.7,0.25,1.3,10,0.251115
"28",2.8,0.25,1.3,6.3,0.22579375
"29",2.9,0.25,1.3,7.7,0.24539
"30",3,0.25,1.3,23.9,0.2600825
"31",3.1,0.25,1.3,26.3,0.25068875
"32",3.2,0.25,1.3,23.3,0.24563875
"33",3.3,0.25,1.3,10.6,0.24004625
"34",3.4,0.25,1.3,1.9,0.24717625
"35",3.5,0.25,1.3,4.3,0.24602
"36",3.6,0.25,1.3,9.8,0.26267625
"37",3.7,0.25,1.3,5.5,0.25206875
"38",3.8,0.25,1.3,6.3,0.24991375
"39",3.9,0.25,1.3,2.6,0.256185
"40",4,0.25,1.3,1.6,0.24319375
"41",4.1,0.25,1.3,5.6,0.25903875
"42",4.2,0.25,1.3,1.2,0.23841
"43",4.3,0.25,1.3,8,0.24973625
"44",4.4,0.25,1.3,2,0.25133875
"45",4.5,0.25,1.3,5.3,0.260455
"46",4.6,0.25,1.3,1.3,0.2310325
"47",4.7,0.25,1.3,4.7,0.26038875
"48",4.8,0.25,1.3,3.6,0.25801375
"49",4.9,0.25,1.3,27.2,0.27207
"50",5,0.25,1.3,2.9,0.24180625
"51",5.1,0.25,1.3,5.3,0.23232625
"52",5.2,0.25,1.3,1.3,0.24371375
"53",5.3,0.25,1.3,1.3,0.2497975
"54",5.4,0.25,1.3,1.1,0.239245
"55",5.5,0.25,1.3,7.7,0.2712775
"56",5.6,0.25,1.3,5.4,0.2496925
"57",5.7,0.25,1.3,22.9,0.24525125
"58",5.8,0.25,1.3,11.1,0.25620125
"59",5.9,0.25,1.3,5,0.2359225
"60",6,0.25,1.3,2.1,0.24063125
