"","m","f_inf","cv","not_binom_dist","p_naive"
"1",0.1,0.25,1.3,100,0.25112375
"2",0.2,0.25,1.3,100,0.25003625
"3",0.3,0.25,1.3,100,0.25048
"4",0.4,0.25,1.3,100,0.249545
"5",0.5,0.25,1.3,100,0.2503625
"6",0.6,0.25,1.3,99.8,0.2502875
"7",0.7,0.25,1.3,98.9,0.249245
"8",0.8,0.25,1.3,97.8,0.2506225
"9",0.9,0.25,1.3,94.1,0.24914
"10",1,0.25,1.3,89.4,0.24905125
"11",1.1,0.25,1.3,85.5,0.25009125
"12",1.2,0.25,1.3,78.2,0.24910125
"13",1.3,0.25,1.3,73.2,0.25005625
"14",1.4,0.25,1.3,69.3,0.25021
"15",1.5,0.25,1.3,59.8,0.250025
"16",1.6,0.25,1.3,54.5,0.24930375
"17",1.7,0.25,1.3,49.1,0.2499975
"18",1.8,0.25,1.3,45.8,0.2511475
"19",1.9,0.25,1.3,42,0.25004
"20",2,0.25,1.3,37.4,0.2499225
"21",2.1,0.25,1.3,34.1,0.24998125
"22",2.2,0.25,1.3,30.5,0.24997
"23",2.3,0.25,1.3,25.2,0.24934375
"24",2.4,0.25,1.3,26.6,0.24977875
"25",2.5,0.25,1.3,22.1,0.25021375
"26",2.6,0.25,1.3,21.2,0.25027
"27",2.7,0.25,1.3,17.8,0.25028625
"28",2.8,0.25,1.3,17.5,0.25069375
"29",2.9,0.25,1.3,18.7,0.24957125
"30",3,0.25,1.3,13.8,0.25006
"31",3.1,0.25,1.3,15.5,0.2499125
"32",3.2,0.25,1.3,12.1,0.24996125
"33",3.3,0.25,1.3,12.7,0.25047375
"34",3.4,0.25,1.3,12.1,0.25051125
"35",3.5,0.25,1.3,9.5,0.2510875
"36",3.6,0.25,1.3,11.2,0.250835
"37",3.7,0.25,1.3,8.6,0.24973875
"38",3.8,0.25,1.3,9.7,0.24961
"39",3.9,0.25,1.3,9.4,0.2486475
"40",4,0.25,1.3,9.2,0.25057125
"41",4.1,0.25,1.3,8.4,0.24967125
"42",4.2,0.25,1.3,9,0.25091125
"43",4.3,0.25,1.3,7.4,0.250515
"44",4.4,0.25,1.3,5.7,0.249945
"45",4.5,0.25,1.3,6.7,0.24983875
"46",4.6,0.25,1.3,8.1,0.25036375
"47",4.7,0.25,1.3,4.8,0.24926875
"48",4.8,0.25,1.3,6.4,0.24997375
"49",4.9,0.25,1.3,4.6,0.25092125
"50",5,0.25,1.3,5.5,0.2505925
"51",5.1,0.25,1.3,6,0.25034625
"52",5.2,0.25,1.3,5.2,0.24990125
"53",5.3,0.25,1.3,4.8,0.24997625
"54",5.4,0.25,1.3,4.5,0.24998625
"55",5.5,0.25,1.3,4.7,0.250185
"56",5.6,0.25,1.3,3.6,0.24960375
"57",5.7,0.25,1.3,4.1,0.25004
"58",5.8,0.25,1.3,5.6,0.25088625
"59",5.9,0.25,1.3,3.9,0.24866125
"60",6,0.25,1.3,2.5,0.2491275
