"","V1","V2","V3","V4","V5"
"1",1.58814287173451,0.275612862955447,1,1,-9848.70413922334
"2",1.58814287173451,0.275612862955447,1,1,-9848.70413922334
"3",1.49467815621263,0.191751693502998,1,1,-9849.02235737393
"4",1.68486883206855,0.250151948045996,1,1,-9850.01179372314
"5",1.86545288987407,0.226641479612945,1,1,-9848.26162976272
"6",1.70119874887104,0.227302238682996,1,1,-9848.23836753686
"7",1.74348657587204,0.198898338137424,1,1,-9847.74257165725
"8",1.74348657587204,0.198898338137424,1,1,-9847.74257165725
"9",1.55372888622876,0.259535737050052,1,1,-9850.04455701857
"10",0.743380632572112,0.194676635939652,1,1,-9851.04629924384
"11",0.743380632572112,0.194676635939652,1,1,-9851.04629924384
"12",0.743380632572112,0.194676635939652,1,1,-9851.04629924384
"13",0.826820718290159,0.192889963662559,1,1,-9850.73328967472
"14",0.972263483793154,0.19378236324155,1,1,-9850.67104456192
"15",1.65666832987175,0.15600250174815,1,1,-9850.45307472448
"","V1","V2","V3","V4","V5"
"1",1.88615293259706,0.243672136804188,1,1,-9850.0275378637
"2",2.31369375356061,0.133036075258379,1,1,-9849.96585458057
"3",1.8572357048954,0.142900938315788,1,1,-9849.7214118129
"4",1.53821012228268,0.201244681151609,1,1,-9849.07524669456
"5",1.68827258082587,0.134426892776087,1,1,-9847.97024592255
"6",1.68634981968973,0.155208909987506,1,1,-9847.78497088711
"7",1.59349389406297,0.1790053472564,1,1,-9848.83455756992
"8",1.58173113009511,0.239844149733262,1,1,-9849.71883760787
"9",2.08289362985486,0.220787657514922,1,1,-9848.98906627482
"10",1.43201396168321,0.171840392249143,1,1,-9848.7203843955
"11",1.70602784656737,0.180975213868518,1,1,-9848.82819670619
"12",1.30858549003773,0.200971796218558,1,1,-9848.35885848625
"13",1.19669942098793,0.239312504199072,1,1,-9848.93962349018
"14",1.19669942098793,0.239312504199072,1,1,-9848.93962349018
"15",1.29163104108239,0.298416694294549,1,1,-9848.98170693906
"","V1","V2","V3","V4","V5"
"1",1.50425693694207,0.280163447434107,1,1,-9848.36090822143
"2",1.50425693694207,0.280163447434107,1,1,-9848.36090822143
"3",1.18033831073151,0.230064762607432,1,1,-9849.52802627541
"4",1.53794290164184,0.15752667933412,1,1,-9849.22542695115
"5",1.92044309515157,0.120613443402366,1,1,-9849.1273411438
"6",2.60941301678486,0.114276053260038,1,1,-9847.38906813964
"7",1.94286597854719,0.101590136839122,1,1,-9847.44738296397
"8",1.76711810072701,0.18265004304524,1,1,-9847.61934143882
"9",1.59933635888174,0.192936931246299,1,1,-9848.63857867719
"10",1.57854888207178,0.281711722979635,1,1,-9849.08641732142
"11",1.53049999378232,0.350567247437117,1,1,-9848.70060668215
"12",1.57326884155319,0.278773074473319,1,1,-9849.11207440865
"13",2.11982841727953,0.100950236467215,1,1,-9849.86807735553
"14",2.08662925975091,0.231645033252717,1,1,-9851.04301758501
"15",2.47970205684895,0.182855389939869,1,1,-9848.05899903391
"","V1","V2","V3","V4","V5"
"1",2.45295425305048,0.12369480486965,1,1,-9849.98590796686
"2",1.85704455574637,0.188988349558946,1,1,-9850.05599235846
"3",1.64296989350747,0.228452939447219,1,1,-9849.67864592141
"4",1.43429615505513,0.522553469386598,1,1,-9849.0427664639
"5",1.43429615505513,0.522553469386598,1,1,-9849.0427664639
