"","V1","V2","V3","V4","V5"
"1",0,0.02,3.5,0.01999,0.02018
"2",0,0.04,6.4,0.04005,0.03896
"3",0,0.06,6.4,0.06027,0.06156
"4",0,0.08,5.7,0.08036,0.07982
"5",0,0.1,6.5,0.09937,0.09886
"6",0,0.12,6.2,0.11957,0.12018
"7",0,0.14,4.6,0.14028,0.14114
"8",0,0.16,3.9,0.16079,0.1613
"9",0,0.18,4.9,0.180105,0.17866
"10",0,0.2,6.2,0.20029,0.19804
"11",0,0.22,5.2,0.220645,0.21692
"12",0,0.24,5.4,0.240195,0.24174
"13",0,0.26,5.4,0.25901,0.25814
"14",0,0.28,5.4,0.279595,0.2774
"15",0,0.3,6.5,0.29993,0.29844
"16",0,0.32,4.8,0.318425,0.31806
"17",0,0.34,5.7,0.340975,0.34248
"18",0,0.36,4.7,0.359085,0.36046
"19",0,0.38,6.2,0.38142,0.38204
"20",0,0.4,5.5,0.399135,0.39442
"21",0,0.42,4.2,0.418865,0.42404
"22",0,0.44,6,0.43922,0.44458
"23",0,0.46,4.4,0.46008,0.46426
"24",0,0.48,6.2,0.480665,0.47772
"25",0,0.5,4.9,0.499615,0.49832
"26",0,0.52,7.1,0.520555,0.52292
"27",0,0.54,5.5,0.53885,0.54142
"28",0,0.56,5.4,0.55916,0.5604
"29",0,0.58,5.6,0.58047,0.58132
"30",0,0.6,4.8,0.60157,0.59992
"31",0,0.62,4,0.617735,0.618
"32",0,0.64,4.7,0.638685,0.63676
"33",0,0.66,4.6,0.66155,0.6612
"34",0,0.68,5.8,0.678955,0.68004
"35",0,0.7,6.2,0.70056,0.69554
"36",0,0.72,4.7,0.719525,0.72128
"37",0,0.74,4.6,0.73966,0.74112
"38",0,0.76,4.9,0.76109,0.7585
"39",0,0.78,6.6,0.780295,0.78324
"40",0,0.8,4.8,0.80077,0.79898
"41",0,0.82,4.9,0.81991,0.81932
"42",0,0.84,4.5,0.840315,0.84038
"43",0,0.86,3.5,0.859805,0.86018
"44",0,0.88,4.9,0.88021,0.87894
"45",0,0.9,6.2,0.898995,0.9017
"46",0,0.92,5.3,0.919575,0.92044
"47",0,0.94,6.3,0.940475,0.94044
"48",0,0.96,8.2,0.95903,0.96058
"49",0,0.98,3.6,0.979935,0.98032
"","V1","V2","V3","V4","V5"
"1",0.02,0.02,4.7,0.0203,0.021
"2",0.02,0.04,7.8,0.04026,0.03892
"3",0.02,0.06,7.4,0.059585,0.05856
"4",0.02,0.08,7.1,0.079745,0.07924
"5",0.02,0.1,5.8,0.099755,0.09822
"6",0.02,0.12,5.2,0.11976,0.12222
"7",0.02,0.14,4.2,0.139405,0.13998
"8",0.02,0.16,4.9,0.16048,0.1616
"9",0.02,0.18,5.3,0.179385,0.17904
"10",0.02,0.2,4.7,0.200245,0.20056
"11",0.02,0.22,4.3,0.22013,0.22242
"12",0.02,0.24,4.9,0.239675,0.23992
"13",0.02,0.26,6.4,0.261675,0.259
"14",0.02,0.28,4,0.281705,0.28524
"15",0.02,0.3,5.6,0.29999,0.29944
"16",0.02,0.32,5.3,0.32009,0.32292
"17",0.02,0.34,5.6,0.33848,0.3385
"18",0.02,0.36,6,0.358925,0.35602
"19",0.02,0.38,4.2,0.380955,0.38234
"20",0.02,0.4,5.4,0.40111,0.39738
"21",0.02,0.42,5.6,0.41983,0.4184
"22",0.02,0.44,3.9,0.44007,0.43842
"23",0.02,0.46,4.1,0.46168,0.45822
"24",0.02,0.48,5.3,0.47874,0.47972
"25",0.02,0.5,6.2,0.498455,0.49752
"26",0.02,0.52,6.5,0.519415,0.51964
"27",0.02,0.54,4.7,0.542195,0.5394
"28",0.02,0.56,4.8,0.56061,0.55714
"29",0.02,0.58,5.6,0.578295,0.5783
"30",0.02,0.6,5.5,0.597985,0.59968
"31",0.02,0.62,5.3,0.619385,0.62024
